	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before
0	2020-11-01 02:20:00	2	5.0	23.0	25.0	0	0	0	0
1	2020-11-01 02:45:00	2	110.0	20.0	20.0	0	0	20.0	0
2	2020-11-01 04:45:00	4	120.0	10.0	10.0	0	0	140.0	0
3	2020-11-01 11:20:00	11	90.0	27.0	170.0	0	0	225.0	225.0
4	2020-11-01 15:00:00	15	70.0	15.0	15.0	0	0	445.0	445.0
5	2020-11-01 16:25:00	16	20.0	15.0	15.0	0	0	530.0	530.0
6	2020-11-01 18:10:00	18	25.0	15.0	120.0	0	0	35.0	635.0
7	2020-11-01 21:05:00	21	160.0	24.0	40.0	120.0	65.0	75.0	810.0
8	2020-11-02 00:15:00	0	110.0	243.0	30.0	120.0	255.0	30.0	30.0
9	2020-11-02 02:20:00	2	130.0	15.0	15.0	120.0	380.0	15.0	155.0
10	2020-11-02 04:45:00	4	65.0	15.0	15.0	120.0	525.0	160.0	300.0
11	2020-11-02 07:45:00	7	35.0	20.0	70.0	120.0	705.0	45.0	480.0
12	2020-11-02 10:45:00	10	30.0	11.0	140.0	120.0	885.0	120.0	120.0
13	2020-11-02 12:50:00	12	30.0	19.0	95.0	120.0	1010.0	50.0	50.0
14	2020-11-02 15:45:00	15	115.0	15.0	110.0	120.0	1185.0	50.0	50.0
15	2020-11-02 21:30:00	21	170.0	207.0	0.0	120.0	90.0	0.0	0.0
16	2020-11-03 00:35:00	0	145.0	16.0	15.0	120.0	275.0	30.0	185.0
17	2020-11-03 03:15:00	3	205.0	15.0	15.0	120.0	435.0	190.0	345.0
18	2020-11-03 09:50:00	9	120.0	26.0	25.0	120.0	830.0	80.0	160.0
19	2020-11-03 13:40:00	13	10.0	10.0	100.0	120.0	1060.0	90.0	390.0
20	2020-11-03 17:15:00	17	55.0	20.0	150.0	120.0	1275.0	105.0	105.0
21	2020-11-03 20:20:00	20	165.0	43.0	30.0	120.0	35.0	50.0	290.0
22	2020-11-03 23:40:00	23	5.0	33.0	35.0	120.0	235.0	250.0	490.0
23	2020-11-03 23:55:00	23	335.0	226.0	0.0	120.0	250.0	0.0	0.0
24	2020-11-04 06:55:00	6	55.0	24.0	85.0	120.0	670.0	55.0	55.0
25	2020-11-04 09:15:00	9	20.0	43.0	45.0	120.0	810.0	45.0	195.0
26	2020-11-04 12:10:00	12	40.0	19.0	135.0	120.0	985.0	220.0	370.0
27	2020-11-04 16:35:00	16	25.0	10.0	45.0	120.0	1250.0	20.0	635.0
28	2020-11-04 18:10:00	18	10.0	14.0	60.0	120.0	1345.0	35.0	35.0
29	2020-11-04 20:50:00	20	180.0	37.0	35.0	160.0	70.0	80.0	195.0
30	2020-11-05 00:05:00	0	170.0	209.0	15.0	160.0	265.0	15.0	15.0
31	2020-11-05 03:15:00	3	270.0	17.0	20.0	160.0	455.0	205.0	205.0
32	2020-11-05 09:40:00	9	95.0	54.0	55.0	160.0	840.0	70.0	590.0
33	2020-11-05 14:00:00	14	25.0	33.0	35.0	160.0	1100.0	35.0	160.0
34	2020-11-05 15:50:00	15	85.0	25.0	25.0	160.0	1210.0	40.0	40.0
35	2020-11-05 22:05:00	22	10.0	21.0	20.0	120.0	115.0	45.0	45.0
36	2020-11-05 22:30:00	22	115.0	236.0	0.0	120.0	140.0	0.0	0.0
37	2020-11-06 01:00:00	1	10.0	39.0	35.0	120.0	290.0	150.0	150.0
38	2020-11-06 01:35:00	1	45.0	20.0	20.0	120.0	325.0	25.0	185.0
39	2020-11-06 02:30:00	2	145.0	15.0	10.0	120.0	380.0	80.0	240.0
40	2020-11-06 06:30:00	6	60.0	85.0	95.0	120.0	620.0	320.0	480.0
41	2020-11-06 08:55:00	8	30.0	30.0	35.0	120.0	765.0	75.0	75.0
42	2020-11-06 11:50:00	11	25.0	13.0	100.0	120.0	940.0	50.0	250.0
43	2020-11-06 13:40:00	13	35.0	18.0	55.0	120.0	1050.0	160.0	360.0
44	2020-11-06 16:45:00	16	30.0	10.0	120.0	120.0	1235.0	105.0	545.0
45	2020-11-06 23:00:00	23	270.0	431.0	0.0	120.0	175.0	0.0	0.0
46	2020-11-07 03:50:00	3	95.0	20.0	20.0	120.0	465.0	20.0	290.0
47	2020-11-07 06:15:00	6	50.0	10.0	50.0	120.0	610.0	165.0	435.0
48	2020-11-07 10:00:00	10	10.0	10.0	60.0	120.0	835.0	45.0	660.0
49	2020-11-07 10:25:00	10	5.0	10.0	85.0	120.0	860.0	70.0	685.0
50	2020-11-07 11:05:00	11	60.0	31.0	30.0	120.0	900.0	110.0	725.0
51	2020-11-07 12:20:00	12	65.0	15.0	15.0	120.0	975.0	185.0	800.0
52	2020-11-07 15:00:00	15	120.0	10.0	45.0	120.0	1135.0	70.0	960.0
53	2020-11-07 20:35:00	20	40.0	21.0	25.0	120.0	1470.0	105.0	105.0
54	2020-11-07 21:45:00	21	125.0	12.0	10.0	120.0	1540.0	175.0	175.0
55	2020-11-08 02:40:00	2	70.0	519.0	170.0	120.0	1835.0	170.0	170.0
56	2020-11-08 04:05:00	4	75.0	15.0	15.0	120.0	1920.0	255.0	255.0
57	2020-11-08 05:35:00	5	60.0	15.0	15.0	120.0	2010.0	345.0	345.0
