	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
0	2020-07-08 16:45:00	16	120.0	9.0	10.0	40.0	370.0	105.0	585.0	0
9	2020-07-09 11:35:00	11	165.0	7.0	15.0	40.0	5.0	15.0	435.0	180.0
10	2020-07-09 14:40:00	14	165.0	9.0	15.0	40.0	190.0	5.0	620.0	20.0
11	2020-07-09 18:00:00	18	15.0	10.0	10.0	40.0	390.0	205.0	820.0	35.0
12	2020-07-09 18:45:00	18	150.0	10.0	55.0	40.0	435.0	15.0	865.0	30.0
17	2020-07-10 06:50:00	6	35.0	12.0	15.0	40.0	285.0	15.0	425.0	15.0
18	2020-07-10 08:50:00	8	70.0	12.0	15.0	40.0	405.0	135.0	545.0	85.0
19	2020-07-10 10:40:00	10	140.0	18.0	30.0	40.0	515.0	5.0	40.0	40.0
20	2020-07-10 13:10:00	13	170.0	11.0	10.0	40.0	665.0	10.0	190.0	10.0
21	2020-07-10 17:00:00	17	190.0	10.0	60.0	40.0	10.0	60.0	420.0	60.0
25	2020-07-11 08:00:00	8	235.0	8.0	10.0	30.0	65.0	50.0	210.0	150.0
26	2020-07-11 13:40:00	13	195.0	11.0	15.0	30.0	405.0	25.0	80.0	105.0
27	2020-07-11 17:10:00	17	75.0	12.0	15.0	30.0	615.0	15.0	290.0	15.0
32	2020-07-12 07:20:00	7	135.0	8.0	10.0	40.0	560.0	80.0	560.0	80.0
33	2020-07-12 10:45:00	10	15.0	10.0	10.0	40.0	765.0	285.0	70.0	70.0
34	2020-07-12 12:05:00	12	195.0	10.0	35.0	40.0	5.0	5.0	150.0	65.0
35	2020-07-12 16:30:00	16	215.0	7.0	10.0	40.0	270.0	10.0	65.0	70.0
43	2020-07-13 07:55:00	7	40.0	16.0	35.0	40.0	405.0	35.0	35.0	35.0
44	2020-07-13 09:05:00	9	40.0	12.0	30.0	50.0	5.0	105.0	105.0	30.0
45	2020-07-13 09:50:00	9	145.0	12.0	75.0	10.0	5.0	150.0	5.0	5.0
46	2020-07-13 12:25:00	12	140.0	10.0	10.0	10.0	160.0	10.0	160.0	10.0
47	2020-07-13 15:40:00	15	20.0	12.0	55.0	10.0	355.0	55.0	355.0	55.0
48	2020-07-13 16:40:00	16	130.0	12.0	115.0	10.0	415.0	115.0	415.0	40.0
52	2020-07-14 08:00:00	8	60.0	13.0	15.0	60.0	400.0	15.0	445.0	15.0
53	2020-07-14 09:25:00	9	25.0	20.0	20.0	60.0	485.0	100.0	530.0	25.0
54	2020-07-14 10:15:00	10	130.0	9.0	10.0	60.0	535.0	25.0	580.0	25.0
55	2020-07-14 12:50:00	12	80.0	15.0	25.0	50.0	5.0	180.0	735.0	25.0
56	2020-07-14 15:40:00	15	100.0	17.0	80.0	50.0	175.0	85.0	85.0	90.0
57	2020-07-14 17:45:00	17	35.0	15.0	15.0	50.0	300.0	210.0	210.0	25.0
62	2020-07-15 07:30:00	7	120.0	11.0	40.0	40.0	10.0	130.0	140.0	140.0
63	2020-07-15 09:45:00	9	50.0	13.0	15.0	40.0	145.0	265.0	275.0	15.0
64	2020-07-15 10:50:00	10	35.0	11.0	10.0	40.0	210.0	330.0	340.0	15.0
65	2020-07-15 12:10:00	12	75.0	5.0	10.0	40.0	5.0	45.0	420.0	45.0
66	2020-07-15 13:50:00	13	115.0	10.0	20.0	40.0	105.0	145.0	520.0	25.0
67	2020-07-15 18:15:00	18	85.0	12.0	100.0	60.0	60.0	150.0	50.0	150.0
72	2020-07-16 06:40:00	6	55.0	18.0	20.0	60.0	310.0	20.0	540.0	20.0
73	2020-07-16 09:30:00	9	115.0	9.0	115.0	60.0	480.0	190.0	710.0	115.0
74	2020-07-16 12:10:00	12	60.0	14.0	15.0	60.0	640.0	45.0	870.0	45.0
75	2020-07-16 13:25:00	13	185.0	3.0	15.0	60.0	715.0	120.0	945.0	15.0
76	2020-07-16 17:20:00	17	40.0	7.0	20.0	60.0	950.0	50.0	50.0	50.0
77	2020-07-16 18:30:00	18	90.0	14.0	15.0	60.0	1020.0	120.0	120.0	30.0
82	2020-07-17 06:05:00	6	85.0	15.0	15.0	40.0	170.0	15.0	435.0	15.0
83	2020-07-17 07:40:00	7	65.0	10.0	10.0	40.0	265.0	110.0	10.0	10.0
84	2020-07-17 09:15:00	9	145.0	12.0	15.0	40.0	360.0	205.0	105.0	30.0
85	2020-07-17 12:05:00	12	25.0	16.0	20.0	40.0	530.0	25.0	25.0	25.0
86	2020-07-17 14:40:00	14	155.0	14.0	120.0	40.0	685.0	60.0	180.0	130.0
87	2020-07-17 17:50:00	17	110.0	17.0	35.0	40.0	875.0	35.0	370.0	35.0
92	2020-07-18 08:40:00	8	50.0	17.0	20.0	80.0	450.0	20.0	635.0	20.0
93	2020-07-18 09:55:00	9	50.0	18.0	20.0	80.0	525.0	95.0	710.0	25.0
