	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
0	2020-10-01 08:55:00	8	25.0	9.0	10.0	0	0	65.0	65.0	130.0
1	2020-10-01 10:15:00	10	100.0	9.0	90.0	0	0	145.0	145.0	55.0
2	2020-10-01 13:10:00	13	55.0	17.0	75.0	0	0	30.0	320.0	75.0
3	2020-10-01 14:35:00	14	80.0	26.0	25.0	0	0	115.0	405.0	30.0
4	2020-10-01 16:20:00	16	5.0	21.0	25.0	0	0	25.0	510.0	25.0
5	2020-10-01 17:20:00	17	45.0	21.0	85.0	0	0	85.0	570.0	55.0
6	2020-10-01 18:10:00	18	10.0	21.0	135.0	0	0	135.0	620.0	5.0
10	2020-10-02 06:00:00	6	80.0	45.0	45.0	100.0	540.0	210.0	210.0	45.0
11	2020-10-02 09:00:00	9	100.0	5.0	55.0	100.0	720.0	15.0	60.0	100.0
12	2020-10-02 14:10:00	14	50.0	10.0	15.0	100.0	1030.0	40.0	40.0	210.0
13	2020-10-02 15:15:00	15	50.0	14.0	15.0	100.0	1095.0	105.0	105.0	15.0
14	2020-10-02 18:40:00	18	35.0	22.0	110.0	100.0	1300.0	85.0	310.0	155.0
20	2020-10-03 06:00:00	6	65.0	82.0	15.0	50.0	510.0	465.0	465.0	15.0
21	2020-10-03 07:20:00	7	160.0	15.0	15.0	50.0	590.0	545.0	545.0	15.0
22	2020-10-03 11:10:00	11	95.0	17.0	70.0	50.0	820.0	0.0	0.0	70.0
23	2020-10-03 14:15:00	14	35.0	17.0	90.0	50.0	1005.0	55.0	185.0	90.0
24	2020-10-03 15:50:00	15	30.0	30.0	40.0	50.0	1100.0	40.0	280.0	60.0
25	2020-10-03 16:30:00	16	25.0	10.0	10.0	50.0	1140.0	80.0	320.0	10.0
31	2020-10-04 07:45:00	7	30.0	69.0	70.0	100.0	645.0	245.0	540.0	70.0
32	2020-10-04 09:35:00	9	15.0	20.0	20.0	100.0	755.0	25.0	650.0	80.0
