	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
3	2020-11-01 11:20:00	11	90.0	27.0	170.0	0	0	225.0	225.0	275.0
4	2020-11-01 15:00:00	15	70.0	15.0	15.0	0	0	445.0	445.0	130.0
5	2020-11-01 16:25:00	16	20.0	15.0	15.0	0	0	530.0	530.0	15.0
6	2020-11-01 18:10:00	18	25.0	15.0	120.0	0	0	35.0	635.0	85.0
11	2020-11-02 07:45:00	7	35.0	20.0	70.0	120.0	705.0	45.0	480.0	115.0
12	2020-11-02 10:45:00	10	30.0	11.0	140.0	120.0	885.0	120.0	120.0	145.0
13	2020-11-02 12:50:00	12	30.0	19.0	95.0	120.0	1010.0	50.0	50.0	95.0
14	2020-11-02 15:45:00	15	115.0	15.0	110.0	120.0	1185.0	50.0	50.0	145.0
18	2020-11-03 09:50:00	9	120.0	26.0	25.0	120.0	830.0	80.0	160.0	190.0
19	2020-11-03 13:40:00	13	10.0	10.0	100.0	120.0	1060.0	90.0	390.0	110.0
20	2020-11-03 17:15:00	17	55.0	20.0	150.0	120.0	1275.0	105.0	105.0	205.0
24	2020-11-04 06:55:00	6	55.0	24.0	85.0	120.0	670.0	55.0	55.0	85.0
25	2020-11-04 09:15:00	9	20.0	43.0	45.0	120.0	810.0	45.0	195.0	85.0
26	2020-11-04 12:10:00	12	40.0	19.0	135.0	120.0	985.0	220.0	370.0	155.0
27	2020-11-04 16:35:00	16	25.0	10.0	45.0	120.0	1250.0	20.0	635.0	225.0
28	2020-11-04 18:10:00	18	10.0	14.0	60.0	120.0	1345.0	35.0	35.0	70.0
32	2020-11-05 09:40:00	9	95.0	54.0	55.0	160.0	840.0	70.0	590.0	115.0
33	2020-11-05 14:00:00	14	25.0	33.0	35.0	160.0	1100.0	35.0	160.0	165.0
34	2020-11-05 15:50:00	15	85.0	25.0	25.0	160.0	1210.0	40.0	40.0	85.0
40	2020-11-06 06:30:00	6	60.0	85.0	95.0	120.0	620.0	320.0	480.0	95.0
41	2020-11-06 08:55:00	8	30.0	30.0	35.0	120.0	765.0	75.0	75.0	85.0
42	2020-11-06 11:50:00	11	25.0	13.0	100.0	120.0	940.0	50.0	250.0	145.0
43	2020-11-06 13:40:00	13	35.0	18.0	55.0	120.0	1050.0	160.0	360.0	85.0
44	2020-11-06 16:45:00	16	30.0	10.0	120.0	120.0	1235.0	105.0	545.0	150.0
47	2020-11-07 06:15:00	6	50.0	10.0	50.0	120.0	610.0	165.0	435.0	50.0
48	2020-11-07 10:00:00	10	10.0	10.0	60.0	120.0	835.0	45.0	660.0	175.0
49	2020-11-07 10:25:00	10	5.0	10.0	85.0	120.0	860.0	70.0	685.0	15.0
50	2020-11-07 11:05:00	11	60.0	31.0	30.0	120.0	900.0	110.0	725.0	35.0
51	2020-11-07 12:20:00	12	65.0	15.0	15.0	120.0	975.0	185.0	800.0	15.0
52	2020-11-07 15:00:00	15	120.0	10.0	45.0	120.0	1135.0	70.0	960.0	95.0
58	2020-11-08 06:50:00	6	40.0	15.0	15.0	120.0	2085.0	420.0	420.0	15.0
59	2020-11-08 08:10:00	8	65.0	30.0	40.0	120.0	2165.0	40.0	500.0	40.0
60	2020-11-08 12:00:00	12	30.0	10.0	125.0	120.0	2395.0	165.0	730.0	165.0
61	2020-11-08 12:40:00	12	40.0	10.0	165.0	120.0	2435.0	205.0	770.0	10.0
62	2020-11-08 13:30:00	13	5.0	10.0	215.0	120.0	2485.0	255.0	820.0	10.0
63	2020-11-08 15:25:00	15	55.0	6.0	85.0	120.0	2600.0	75.0	935.0	110.0
67	2020-11-09 06:35:00	6	105.0	56.0	60.0	120.0	665.0	565.0	565.0	60.0
68	2020-11-09 09:55:00	9	110.0	12.0	55.0	120.0	865.0	35.0	35.0	95.0
69	2020-11-09 13:40:00	13	50.0	7.0	20.0	120.0	1090.0	10.0	260.0	115.0
78	2020-11-10 09:05:00	9	10.0	25.0	25.0	120.0	815.0	55.0	565.0	165.0
79	2020-11-10 09:20:00	9	150.0	10.0	10.0	120.0	830.0	70.0	580.0	5.0
80	2020-11-10 13:30:00	13	50.0	11.0	90.0	120.0	1080.0	95.0	830.0	100.0
81	2020-11-10 14:50:00	14	70.0	33.0	30.0	120.0	1160.0	175.0	910.0	30.0
82	2020-11-10 17:50:00	17	30.0	14.0	35.0	120.0	1340.0	100.0	1090.0	110.0
87	2020-11-11 06:10:00	6	70.0	30.0	30.0	90.0	625.0	400.0	400.0	30.0
88	2020-11-11 10:00:00	10	35.0	111.0	90.0	90.0	855.0	130.0	130.0	160.0
89	2020-11-11 13:00:00	13	25.0	26.0	25.0	90.0	1035.0	45.0	310.0	145.0
90	2020-11-11 15:20:00	15	40.0	26.0	165.0	90.0	1175.0	10.0	450.0	115.0
