	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before
0	2020-07-08 16:45:00	16	120.0	9.0	10.0	40.0	370.0	105.0	585.0
1	2020-07-08 20:40:00	20	10.0	13.0	15.0	40.0	85.0	70.0	820.0
2	2020-07-08 20:55:00	20	100.0	4.0	5.0	40.0	100.0	85.0	835.0
3	2020-07-08 22:45:00	22	170.0	175.0	0.0	40.0	210.0	0.0	0.0
4	2020-07-09 02:15:00	2	5.0	9.0	10.0	40.0	420.0	25.0	210.0
5	2020-07-09 02:35:00	2	65.0	8.0	10.0	40.0	440.0	45.0	230.0
6	2020-07-09 03:55:00	3	15.0	11.0	10.0	40.0	520.0	125.0	310.0
7	2020-07-09 04:15:00	4	10.0	11.0	30.0	40.0	540.0	145.0	330.0
8	2020-07-09 04:45:00	4	230.0	11.0	60.0	40.0	10.0	175.0	25.0
9	2020-07-09 11:35:00	11	165.0	7.0	15.0	40.0	5.0	15.0	435.0
10	2020-07-09 14:40:00	14	165.0	9.0	15.0	40.0	190.0	5.0	620.0
11	2020-07-09 18:00:00	18	15.0	10.0	10.0	40.0	390.0	205.0	820.0
12	2020-07-09 18:45:00	18	150.0	10.0	55.0	40.0	435.0	15.0	865.0
13	2020-07-09 22:35:00	22	10.0	7.0	5.0	40.0	35.0	75.0	75.0
14	2020-07-10 00:00:00	0	100.0	179.0	15.0	40.0	120.0	15.0	15.0
15	2020-07-10 03:20:00	3	10.0	14.0	20.0	40.0	75.0	80.0	215.0
16	2020-07-10 03:40:00	3	175.0	9.0	10.0	40.0	95.0	10.0	235.0
17	2020-07-10 06:50:00	6	35.0	12.0	15.0	40.0	285.0	15.0	425.0
18	2020-07-10 08:50:00	8	70.0	12.0	15.0	40.0	405.0	135.0	545.0
19	2020-07-10 10:40:00	10	140.0	18.0	30.0	40.0	515.0	5.0	40.0
20	2020-07-10 13:10:00	13	170.0	11.0	10.0	40.0	665.0	10.0	190.0
21	2020-07-10 17:00:00	17	190.0	10.0	60.0	40.0	10.0	60.0	420.0
22	2020-07-10 21:05:00	21	170.0	11.0	55.0	60.0	15.0	55.0	665.0
23	2020-07-11 01:20:00	1	190.0	10.0	15.0	60.0	270.0	30.0	30.0
24	2020-07-11 04:45:00	4	45.0	14.0	15.0	60.0	475.0	15.0	15.0
25	2020-07-11 08:00:00	8	235.0	8.0	10.0	30.0	65.0	50.0	210.0
26	2020-07-11 13:40:00	13	195.0	11.0	15.0	30.0	405.0	25.0	80.0
27	2020-07-11 17:10:00	17	75.0	12.0	15.0	30.0	615.0	15.0	290.0
28	2020-07-11 20:20:00	20	90.0	10.0	0.0	40.0	50.0	20.0	20.0
29	2020-07-11 22:00:00	22	195.0	165.0	0.0	40.0	0.0	0.0	0.0
30	2020-07-12 02:00:00	2	160.0	13.0	45.0	40.0	240.0	45.0	240.0
31	2020-07-12 05:00:00	5	60.0	16.0	15.0	40.0	420.0	15.0	420.0
32	2020-07-12 07:20:00	7	135.0	8.0	10.0	40.0	560.0	80.0	560.0
33	2020-07-12 10:45:00	10	15.0	10.0	10.0	40.0	765.0	285.0	70.0
34	2020-07-12 12:05:00	12	195.0	10.0	35.0	40.0	5.0	5.0	150.0
35	2020-07-12 16:30:00	16	215.0	7.0	10.0	40.0	270.0	10.0	65.0
36	2020-07-12 20:20:00	20	40.0	11.0	15.0	40.0	500.0	15.0	295.0
37	2020-07-12 21:35:00	21	10.0	9.0	10.0	40.0	35.0	35.0	370.0
38	2020-07-12 21:55:00	21	15.0	7.0	10.0	40.0	55.0	55.0	390.0
39	2020-07-12 22:15:00	22	105.0	8.0	5.0	40.0	75.0	75.0	410.0
40	2020-07-13 00:35:00	0	20.0	10.0	30.0	40.0	215.0	35.0	135.0
