	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before
0	2020-09-01 00:00:00	0	540.0	0	0	0	0	0	0
1	2020-09-01 11:45:00	11	65.0	25.0	70.0	0	0	165.0	0
2	2020-09-01 13:45:00	13	145.0	14.0	45.0	0	0	30.0	0
3	2020-09-01 17:15:00	17	25.0	17.0	35.0	0	0	15.0	0
4	2020-09-01 22:50:00	22	25.0	24.0	40.0	60.0	95.0	230.0	0
5	2020-09-01 23:25:00	23	305.0	248.0	0.0	60.0	130.0	0.0	0.0
6	2020-09-02 05:30:00	5	110.0	20.0	35.0	60.0	495.0	35.0	365.0
7	2020-09-02 09:00:00	9	155.0	6.0	50.0	60.0	705.0	5.0	575.0
8	2020-09-02 12:10:00	12	15.0	22.0	35.0	60.0	895.0	195.0	765.0
9	2020-09-02 13:05:00	13	50.0	22.0	90.0	60.0	950.0	250.0	820.0
10	2020-09-02 14:45:00	14	105.0	12.0	50.0	60.0	1050.0	350.0	920.0
11	2020-09-02 19:00:00	19	60.0	31.0	60.0	80.0	135.0	110.0	110.0
12	2020-09-02 21:15:00	21	21.0	38.0	50.0	80.0	270.0	60.0	245.0
13	2020-09-02 22:30:00	22	210.0	197.0	0.0	80.0	345.0	0.0	0.0
14	2020-09-03 03:15:00	3	365.0	36.0	40.0	80.0	75.0	40.0	285.0
15	2020-09-03 10:40:00	10	25.0	21.0	80.0	80.0	520.0	30.0	730.0
16	2020-09-03 11:10:00	11	70.0	21.0	110.0	80.0	550.0	60.0	760.0
17	2020-09-03 13:45:00	13	115.0	21.0	70.0	80.0	705.0	25.0	915.0
18	2020-09-03 17:15:00	17	35.0	14.0	75.0	80.0	915.0	75.0	1125.0
19	2020-09-03 21:15:00	21	540.0	193.0	0.0	80.0	1155.0	0.0	0.0
20	2020-09-04 06:45:00	6	120.0	30.0	30.0	80.0	1725.0	30.0	570.0
21	2020-09-04 09:55:00	9	145.0	26.0	65.0	80.0	1915.0	25.0	25.0
22	2020-09-04 13:40:00	13	120.0	20.0	80.0	80.0	2140.0	80.0	250.0
23	2020-09-04 16:55:00	16	170.0	10.0	10.0	80.0	2335.0	35.0	35.0
24	2020-09-04 21:45:00	21	35.0	33.0	60.0	80.0	2625.0	75.0	325.0
25	2020-09-05 01:00:00	1	235.0	102.0	35.0	80.0	70.0	70.0	70.0
26	2020-09-05 05:30:00	5	50.0	36.0	35.0	80.0	340.0	340.0	340.0
27	2020-09-05 07:05:00	7	120.0	26.0	25.0	80.0	435.0	25.0	435.0
28	2020-09-05 11:00:00	11	110.0	11.0	25.0	80.0	670.0	115.0	670.0
29	2020-09-05 14:25:00	14	30.0	17.0	65.0	80.0	875.0	5.0	5.0
30	2020-09-05 16:00:00	16	30.0	17.0	160.0	80.0	970.0	100.0	100.0
31	2020-09-05 17:50:00	17	60.0	23.0	75.0	80.0	1080.0	35.0	210.0
32	2020-09-06 00:50:00	0	390.0	44.0	45.0	80.0	250.0	85.0	85.0
33	2020-09-06 09:15:00	9	30.0	30.0	115.0	80.0	755.0	15.0	590.0
34	2020-09-06 10:10:00	10	155.0	12.0	20.0	80.0	810.0	70.0	645.0
35	2020-09-06 13:30:00	13	205.0	22.0	45.0	80.0	1010.0	45.0	845.0
36	2020-09-06 20:40:00	20	15.0	15.0	80.0	80.0	120.0	20.0	1275.0
37	2020-09-06 21:10:00	21	5.0	15.0	110.0	80.0	150.0	50.0	1305.0
38	2020-09-06 22:30:00	22	5.0	20.0	30.0	80.0	230.0	130.0	1385.0
39	2020-09-07 00:15:00	0	465.0	348.0	80.0	80.0	335.0	80.0	80.0
40	2020-09-07 09:15:00	9	135.0	32.0	35.0	80.0	875.0	35.0	620.0
41	2020-09-07 12:55:00	12	50.0	24.0	75.0	80.0	1095.0	20.0	840.0
42	2020-09-07 15:00:00	15	155.0	15.0	60.0	80.0	1220.0	145.0	965.0
43	2020-09-07 18:55:00	18	35.0	24.0	80.0	80.0	1455.0	55.0	1200.0
44	2020-09-07 22:50:00	22	10.0	39.0	55.0	80.0	1690.0	95.0	1435.0
45	2020-09-07 23:10:00	23	490.0	224.0	0.0	80.0	1710.0	0.0	0.0
46	2020-09-08 08:30:00	8	45.0	32.0	40.0	80.0	2270.0	70.0	560.0
47	2020-09-08 10:00:00	10	55.0	32.0	130.0	80.0	2360.0	45.0	650.0
48	2020-09-08 11:40:00	11	245.0	30.0	30.0	80.0	2460.0	30.0	750.0
49	2020-09-08 21:20:00	21	25.0	29.0	50.0	80.0	3040.0	120.0	1330.0
50	2020-09-08 22:45:00	22	450.0	274.0	0.0	80.0	3125.0	0.0	0.0
51	2020-09-09 06:45:00	6	80.0	23.0	30.0	80.0	3605.0	480.0	480.0
52	2020-09-09 09:40:00	9	105.0	16.0	70.0	80.0	3780.0	75.0	655.0
53	2020-09-09 12:30:00	12	130.0	17.0	55.0	80.0	3950.0	30.0	825.0
54	2020-09-09 16:25:00	16	45.0	25.0	85.0	80.0	4185.0	35.0	1060.0
55	2020-09-09 18:25:00	18	45.0	18.0	65.0	80.0	4305.0	30.0	1180.0
56	2020-09-09 20:35:00	20	10.0	19.0	75.0	80.0	4435.0	75.0	1310.0
57	2020-09-09 23:05:00	23	5.0	15.0	95.0	80.0	55.0	125.0	1460.0
58	2020-09-10 01:30:00	1	505.0	15.0	50.0	80.0	200.0	110.0	110.0
59	2020-09-10 11:20:00	11	30.0	24.0	85.0	80.0	790.0	20.0	20.0
60	2020-09-10 13:20:00	13	40.0	16.0	65.0	80.0	910.0	140.0	140.0
61	2020-09-10 14:40:00	14	170.0	16.0	35.0	80.0	990.0	220.0	220.0
