	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
1	2020-12-01 06:00:00	6	60.0	17.0	30.0	0	0	30.0	30.0	40.0
2	2020-12-01 09:25:00	9	5.0	7.0	85.0	0	0	130.0	130.0	145.0
3	2020-12-01 09:35:00	9	50.0	7.0	95.0	0	0	140.0	140.0	5.0
4	2020-12-01 11:45:00	11	10.0	7.0	225.0	0	0	55.0	55.0	80.0
5	2020-12-01 13:55:00	13	85.0	12.0	100.0	0	0	60.0	185.0	120.0
6	2020-12-01 17:45:00	17	35.0	7.0	125.0	0	0	85.0	415.0	145.0
10	2020-12-02 09:35:00	9	75.0	7.0	65.0	120.0	820.0	45.0	130.0	165.0
11	2020-12-02 14:30:00	14	25.0	8.0	140.0	120.0	1115.0	130.0	425.0	220.0
12	2020-12-02 16:20:00	16	45.0	16.0	60.0	120.0	1225.0	80.0	80.0	85.0
17	2020-12-03 06:35:00	6	40.0	8.0	130.0	80.0	650.0	275.0	495.0	10.0
18	2020-12-03 09:35:00	9	50.0	7.0	95.0	80.0	830.0	110.0	70.0	140.0
19	2020-12-03 13:35:00	13	30.0	18.0	125.0	80.0	1070.0	25.0	310.0	190.0
20	2020-12-03 15:50:00	15	30.0	12.0	20.0	80.0	1205.0	95.0	445.0	105.0
25	2020-12-04 09:25:00	9	40.0	9.0	55.0	80.0	840.0	25.0	750.0	150.0
26	2020-12-04 11:55:00	11	50.0	7.0	25.0	80.0	990.0	35.0	900.0	110.0
27	2020-12-04 13:55:00	13	60.0	7.0	145.0	80.0	1110.0	155.0	1020.0	70.0
28	2020-12-04 16:30:00	16	60.0	10.0	75.0	80.0	1265.0	80.0	1175.0	95.0
34	2020-12-05 06:15:00	6	80.0	9.0	155.0	80.0	630.0	145.0	425.0	10.0
35	2020-12-05 10:35:00	10	10.0	10.0	155.0	80.0	890.0	405.0	685.0	180.0
36	2020-12-05 10:50:00	10	15.0	10.0	170.0	80.0	905.0	420.0	700.0	5.0
37	2020-12-05 11:10:00	11	85.0	10.0	190.0	80.0	925.0	440.0	720.0	5.0
38	2020-12-05 14:20:00	14	20.0	9.0	100.0	80.0	1115.0	100.0	910.0	105.0
39	2020-12-05 15:20:00	15	45.0	12.0	15.0	80.0	1175.0	25.0	970.0	40.0
44	2020-12-06 06:05:00	6	40.0	9.0	270.0	80.0	660.0	290.0	545.0	5.0
45	2020-12-06 08:45:00	8	110.0	12.0	90.0	80.0	820.0	90.0	705.0	120.0
46	2020-12-06 13:20:00	13	30.0	7.0	90.0	80.0	1095.0	35.0	165.0	165.0
47	2020-12-06 14:55:00	14	30.0	7.0	185.0	80.0	1190.0	25.0	260.0	65.0
48	2020-12-06 17:45:00	17	30.0	12.0	110.0	80.0	1360.0	15.0	15.0	140.0
52	2020-12-07 09:15:00	9	35.0	9.0	90.0	80.0	815.0	90.0	60.0	90.0
53	2020-12-07 11:00:00	11	40.0	9.0	195.0	80.0	920.0	195.0	165.0	70.0
54	2020-12-07 14:00:00	14	50.0	9.0	140.0	80.0	1100.0	95.0	345.0	140.0
55	2020-12-07 16:35:00	16	115.0	11.0	85.0	80.0	1255.0	55.0	55.0	105.0
62	2020-12-08 07:20:00	7	20.0	15.0	20.0	80.0	655.0	445.0	445.0	20.0
63	2020-12-08 09:10:00	9	40.0	15.0	130.0	80.0	765.0	40.0	40.0	90.0
