	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
1	2020-09-01 11:45:00	11	65.0	25.0	70.0	0	0	165.0	0	165.0
2	2020-09-01 13:45:00	13	145.0	14.0	45.0	0	0	30.0	0	55.0
3	2020-09-01 17:15:00	17	25.0	17.0	35.0	0	0	15.0	0	65.0
7	2020-09-02 09:00:00	9	155.0	6.0	50.0	60.0	705.0	5.0	575.0	100.0
8	2020-09-02 12:10:00	12	15.0	22.0	35.0	60.0	895.0	195.0	765.0	35.0
9	2020-09-02 13:05:00	13	50.0	22.0	90.0	60.0	950.0	250.0	820.0	40.0
10	2020-09-02 14:45:00	14	105.0	12.0	50.0	60.0	1050.0	350.0	920.0	50.0
15	2020-09-03 10:40:00	10	25.0	21.0	80.0	80.0	520.0	30.0	730.0	80.0
16	2020-09-03 11:10:00	11	70.0	21.0	110.0	80.0	550.0	60.0	760.0	5.0
17	2020-09-03 13:45:00	13	115.0	21.0	70.0	80.0	705.0	25.0	915.0	85.0
18	2020-09-03 17:15:00	17	35.0	14.0	75.0	80.0	915.0	75.0	1125.0	95.0
20	2020-09-04 06:45:00	6	120.0	30.0	30.0	80.0	1725.0	30.0	570.0	30.0
21	2020-09-04 09:55:00	9	145.0	26.0	65.0	80.0	1915.0	25.0	25.0	70.0
22	2020-09-04 13:40:00	13	120.0	20.0	80.0	80.0	2140.0	80.0	250.0	80.0
23	2020-09-04 16:55:00	16	170.0	10.0	10.0	80.0	2335.0	35.0	35.0	75.0
27	2020-09-05 07:05:00	7	120.0	26.0	25.0	80.0	435.0	25.0	435.0	45.0
28	2020-09-05 11:00:00	11	110.0	11.0	25.0	80.0	670.0	115.0	670.0	115.0
29	2020-09-05 14:25:00	14	30.0	17.0	65.0	80.0	875.0	5.0	5.0	95.0
30	2020-09-05 16:00:00	16	30.0	17.0	160.0	80.0	970.0	100.0	100.0	65.0
31	2020-09-05 17:50:00	17	60.0	23.0	75.0	80.0	1080.0	35.0	210.0	80.0
33	2020-09-06 09:15:00	9	30.0	30.0	115.0	80.0	755.0	15.0	590.0	115.0
34	2020-09-06 10:10:00	10	155.0	12.0	20.0	80.0	810.0	70.0	645.0	25.0
35	2020-09-06 13:30:00	13	205.0	22.0	45.0	80.0	1010.0	45.0	845.0	45.0
40	2020-09-07 09:15:00	9	135.0	32.0	35.0	80.0	875.0	35.0	620.0	75.0
41	2020-09-07 12:55:00	12	50.0	24.0	75.0	80.0	1095.0	20.0	840.0	85.0
42	2020-09-07 15:00:00	15	155.0	15.0	60.0	80.0	1220.0	145.0	965.0	75.0
43	2020-09-07 18:55:00	18	35.0	24.0	80.0	80.0	1455.0	55.0	1200.0	80.0
46	2020-09-08 08:30:00	8	45.0	32.0	40.0	80.0	2270.0	70.0	560.0	70.0
47	2020-09-08 10:00:00	10	55.0	32.0	130.0	80.0	2360.0	45.0	650.0	45.0
48	2020-09-08 11:40:00	11	245.0	30.0	30.0	80.0	2460.0	30.0	750.0	45.0
51	2020-09-09 06:45:00	6	80.0	23.0	30.0	80.0	3605.0	480.0	480.0	30.0
52	2020-09-09 09:40:00	9	105.0	16.0	70.0	80.0	3780.0	75.0	655.0	95.0
53	2020-09-09 12:30:00	12	130.0	17.0	55.0	80.0	3950.0	30.0	825.0	65.0
54	2020-09-09 16:25:00	16	45.0	25.0	85.0	80.0	4185.0	35.0	1060.0	105.0
