	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before
0	2020-10-01 08:55:00	8	25.0	9.0	10.0	0	0	65.0	65.0
1	2020-10-01 10:15:00	10	100.0	9.0	90.0	0	0	145.0	145.0
2	2020-10-01 13:10:00	13	55.0	17.0	75.0	0	0	30.0	320.0
3	2020-10-01 14:35:00	14	80.0	26.0	25.0	0	0	115.0	405.0
4	2020-10-01 16:20:00	16	5.0	21.0	25.0	0	0	25.0	510.0
5	2020-10-01 17:20:00	17	45.0	21.0	85.0	0	0	85.0	570.0
6	2020-10-01 18:10:00	18	10.0	21.0	135.0	0	0	135.0	620.0
7	2020-10-01 21:40:00	21	120.0	6.0	10.0	100.0	40.0	185.0	830.0
8	2020-10-02 00:00:00	0	140.0	236.0	20.0	100.0	180.0	20.0	20.0
9	2020-10-02 03:00:00	3	135.0	20.0	30.0	100.0	360.0	30.0	30.0
10	2020-10-02 06:00:00	6	80.0	45.0	45.0	100.0	540.0	210.0	210.0
11	2020-10-02 09:00:00	9	100.0	5.0	55.0	100.0	720.0	15.0	60.0
12	2020-10-02 14:10:00	14	50.0	10.0	15.0	100.0	1030.0	40.0	40.0
13	2020-10-02 15:15:00	15	50.0	14.0	15.0	100.0	1095.0	105.0	105.0
14	2020-10-02 18:40:00	18	35.0	22.0	110.0	100.0	1300.0	85.0	310.0
15	2020-10-02 19:35:00	19	25.0	22.0	165.0	100.0	1355.0	140.0	365.0
16	2020-10-02 21:45:00	21	10.0	13.0	10.0	50.0	15.0	25.0	495.0
17	2020-10-02 22:15:00	22	195.0	228.0	0.0	50.0	45.0	0.0	0.0
18	2020-10-03 01:45:00	1	150.0	20.0	15.0	50.0	255.0	210.0	210.0
19	2020-10-03 04:30:00	4	75.0	49.0	15.0	50.0	420.0	375.0	375.0
20	2020-10-03 06:00:00	6	65.0	82.0	15.0	50.0	510.0	465.0	465.0
21	2020-10-03 07:20:00	7	160.0	15.0	15.0	50.0	590.0	545.0	545.0
22	2020-10-03 11:10:00	11	95.0	17.0	70.0	50.0	820.0	0.0	0.0
23	2020-10-03 14:15:00	14	35.0	17.0	90.0	50.0	1005.0	55.0	185.0
24	2020-10-03 15:50:00	15	30.0	30.0	40.0	50.0	1100.0	40.0	280.0
25	2020-10-03 16:30:00	16	25.0	10.0	10.0	50.0	1140.0	80.0	320.0
26	2020-10-03 20:15:00	20	10.0	27.0	25.0	50.0	1365.0	70.0	545.0
27	2020-10-03 22:20:00	22	5.0	59.0	60.0	100.0	80.0	195.0	670.0
28	2020-10-03 22:45:00	22	105.0	387.0	0.0	100.0	105.0	0.0	0.0
29	2020-10-04 00:45:00	0	175.0	15.0	15.0	100.0	225.0	120.0	120.0
30	2020-10-04 04:30:00	4	125.0	26.0	25.0	100.0	450.0	50.0	345.0
31	2020-10-04 07:45:00	7	30.0	69.0	70.0	100.0	645.0	245.0	540.0
32	2020-10-04 09:35:00	9	15.0	20.0	20.0	100.0	755.0	25.0	650.0
33	2020-10-04 11:10:00	11	110.0	20.0	115.0	100.0	850.0	120.0	745.0
34	2020-10-04 14:30:00	14	55.0	13.0	65.0	100.0	1050.0	320.0	945.0
35	2020-10-04 19:40:00	19	135.0	26.0	85.0	60.0	15.0	240.0	1255.0
36	2020-10-04 22:15:00	22	135.0	215.0	0.0	60.0	170.0	0.0	0.0
37	2020-10-05 01:10:00	1	170.0	30.0	30.0	60.0	345.0	175.0	175.0
38	2020-10-05 04:30:00	4	120.0	20.0	30.0	60.0	545.0	30.0	375.0
39	2020-10-05 07:35:00	7	15.0	40.0	65.0	60.0	730.0	215.0	560.0
40	2020-10-05 09:05:00	9	5.0	19.0	20.0	60.0	820.0	20.0	650.0
41	2020-10-05 10:00:00	10	95.0	26.0	25.0	60.0	875.0	75.0	705.0
42	2020-10-05 13:50:00	13	60.0	18.0	70.0	60.0	1105.0	20.0	115.0
43	2020-10-05 15:15:00	15	15.0	19.0	20.0	60.0	1190.0	105.0	200.0
44	2020-10-05 16:30:00	16	90.0	19.0	95.0	60.0	1265.0	30.0	275.0
45	2020-10-05 20:35:00	20	20.0	12.0	65.0	60.0	1510.0	135.0	95.0
46	2020-10-05 21:15:00	21	15.0	12.0	105.0	60.0	1550.0	175.0	135.0
47	2020-10-05 22:00:00	22	20.0	20.0	20.0	60.0	1595.0	220.0	180.0
48	2020-10-05 22:40:00	22	80.0	240.0	0.0	60.0	1635.0	0.0	0.0
49	2020-10-06 00:40:00	0	130.0	33.0	35.0	60.0	1755.0	40.0	120.0
50	2020-10-06 03:05:00	3	130.0	15.0	15.0	60.0	1900.0	15.0	265.0
51	2020-10-06 05:30:00	5	45.0	63.0	15.0	60.0	2045.0	160.0	410.0
52	2020-10-06 06:30:00	6	5.0	13.0	15.0	60.0	2105.0	220.0	470.0
53	2020-10-06 09:15:00	9	55.0	5.0	40.0	60.0	2270.0	15.0	135.0
54	2020-10-06 10:20:00	10	90.0	5.0	105.0	60.0	2335.0	80.0	200.0
55	2020-10-06 12:40:00	12	155.0	12.0	50.0	60.0	2475.0	220.0	340.0
56	2020-10-06 16:45:00	16	90.0	30.0	90.0	60.0	2720.0	20.0	585.0
57	2020-10-06 20:35:00	20	15.0	31.0	30.0	100.0	45.0	125.0	815.0
58	2020-10-06 21:10:00	21	20.0	15.0	15.0	100.0	80.0	160.0	850.0
59	2020-10-06 21:50:00	21	30.0	15.0	55.0	100.0	120.0	200.0	890.0
60	2020-10-06 22:30:00	22	95.0	255.0	0.0	100.0	160.0	0.0	0.0
61	2020-10-07 00:30:00	0	25.0	26.0	25.0	100.0	280.0	120.0	120.0
62	2020-10-07 01:05:00	1	300.0	10.0	10.0	100.0	315.0	155.0	155.0
63	2020-10-07 09:30:00	9	120.0	22.0	55.0	100.0	820.0	100.0	130.0
64	2020-10-07 13:25:00	13	40.0	27.0	115.0	100.0	1055.0	15.0	365.0
65	2020-10-07 14:10:00	14	50.0	27.0	160.0	100.0	1100.0	60.0	410.0
66	2020-10-07 16:25:00	16	100.0	21.0	85.0	100.0	1235.0	55.0	545.0
67	2020-10-07 19:50:00	19	10.0	3.0	40.0	100.0	1440.0	260.0	750.0
68	2020-10-07 21:15:00	21	110.0	3.0	125.0	100.0	15.0	75.0	835.0
69	2020-10-07 23:25:00	23	135.0	199.0	0.0	100.0	145.0	0.0	0.0
70	2020-10-08 02:20:00	2	230.0	37.0	40.0	100.0	320.0	175.0	175.0
71	2020-10-08 11:40:00	11	155.0	4.0	15.0	100.0	880.0	210.0	265.0
72	2020-10-08 16:35:00	16	50.0	18.0	70.0	100.0	1175.0	35.0	560.0
73	2020-10-08 22:15:00	22	145.0	312.0	0.0	50.0	125.0	0.0	0.0
74	2020-10-09 01:00:00	1	200.0	16.0	20.0	50.0	290.0	5.0	165.0
75	2020-10-09 04:30:00	4	30.0	32.0	10.0	50.0	500.0	215.0	375.0
76	2020-10-09 06:00:00	6	105.0	86.0	60.0	50.0	590.0	60.0	465.0
77	2020-10-09 09:20:00	9	95.0	7.0	35.0	50.0	790.0	15.0	665.0
78	2020-10-09 12:50:00	12	35.0	20.0	100.0	50.0	1000.0	55.0	875.0
79	2020-10-09 15:00:00	15	30.0	7.0	45.0	50.0	1130.0	35.0	1005.0
80	2020-10-09 16:00:00	16	60.0	7.0	105.0	50.0	1190.0	95.0	1065.0
81	2020-10-09 19:20:00	19	20.0	11.0	70.0	50.0	1390.0	110.0	1265.0
82	2020-10-09 20:25:00	20	15.0	15.0	15.0	50.0	1455.0	175.0	1330.0
83	2020-10-09 22:30:00	22	240.0	276.0	0.0	50.0	75.0	0.0	0.0
84	2020-10-10 03:00:00	3	115.0	25.0	30.0	50.0	345.0	270.0	270.0
85	2020-10-10 05:40:00	5	135.0	41.0	45.0	50.0	505.0	430.0	430.0
86	2020-10-10 10:00:00	10	35.0	16.0	115.0	50.0	765.0	120.0	690.0
87	2020-10-10 11:55:00	11	20.0	13.0	75.0	50.0	880.0	235.0	805.0
88	2020-10-10 12:45:00	12	60.0	13.0	125.0	50.0	930.0	285.0	855.0
89	2020-10-10 14:50:00	14	100.0	11.0	55.0	50.0	1055.0	50.0	980.0
90	2020-10-10 20:55:00	20	35.0	22.0	30.0	100.0	45.0	80.0	1345.0
91	2020-10-10 21:45:00	21	475.0	183.0	0.0	100.0	95.0	0.0	0.0
92	2020-10-11 06:35:00	6	115.0	58.0	55.0	100.0	625.0	530.0	530.0
93	2020-10-11 12:10:00	12	25.0	14.0	80.0	100.0	960.0	200.0	200.0
94	2020-10-11 13:20:00	13	75.0	14.0	150.0	100.0	1030.0	10.0	10.0
95	2020-10-11 15:20:00	15	65.0	12.0	40.0	100.0	1150.0	5.0	5.0
96	2020-10-11 16:40:00	16	45.0	12.0	120.0	100.0	1230.0	85.0	85.0
97	2020-10-11 20:45:00	20	210.0	153.0	0.0	100.0	1475.0	0.0	0.0
98	2020-10-12 00:35:00	0	180.0	18.0	20.0	100.0	1705.0	230.0	230.0
99	2020-10-12 04:00:00	4	90.0	20.0	25.0	100.0	1910.0	10.0	435.0
100	2020-10-12 05:45:00	5	60.0	76.0	15.0	100.0	2015.0	115.0	540.0
101	2020-10-12 07:00:00	7	100.0	64.0	15.0	100.0	2090.0	190.0	615.0
102	2020-10-12 10:50:00	10	40.0	13.0	95.0	100.0	2320.0	55.0	55.0
103	2020-10-12 12:30:00	12	45.0	10.0	40.0	100.0	2420.0	55.0	155.0
104	2020-10-12 15:10:00	15	65.0	15.0	95.0	100.0	2580.0	30.0	315.0
105	2020-10-12 17:20:00	17	50.0	11.0	65.0	100.0	2710.0	30.0	445.0
106	2020-10-12 20:50:00	20	10.0	22.0	25.0	100.0	30.0	30.0	30.0
107	2020-10-12 21:40:00	21	60.0	15.0	25.0	100.0	80.0	80.0	80.0
108	2020-10-12 22:50:00	22	135.0	328.0	0.0	100.0	150.0	0.0	0.0
109	2020-10-13 06:30:00	6	160.0	195.0	90.0	100.0	610.0	30.0	460.0
110	2020-10-13 11:30:00	11	25.0	12.0	100.0	100.0	910.0	10.0	760.0
111	2020-10-13 13:00:00	13	55.0	11.0	55.0	100.0	1000.0	100.0	850.0
112	2020-10-13 14:25:00	14	20.0	11.0	140.0	100.0	1085.0	5.0	935.0
113	2020-10-13 16:25:00	16	35.0	20.0	95.0	100.0	1205.0	125.0	1055.0
114	2020-10-13 18:30:00	18	20.0	12.0	80.0	100.0	1330.0	250.0	1180.0
115	2020-10-13 20:55:00	20	30.0	28.0	80.0	60.0	20.0	110.0	1325.0
116	2020-10-13 22:25:00	22	210.0	462.0	0.0	60.0	110.0	0.0	0.0
117	2020-10-14 02:30:00	2	180.0	78.0	35.0	60.0	355.0	245.0	245.0
118	2020-10-14 06:00:00	6	80.0	40.0	30.0	60.0	565.0	455.0	455.0
119	2020-10-14 09:25:00	9	115.0	11.0	75.0	60.0	770.0	15.0	660.0
120	2020-10-14 12:45:00	12	30.0	12.0	70.0	60.0	970.0	15.0	860.0
121	2020-10-14 14:00:00	14	45.0	13.0	40.0	60.0	1045.0	90.0	935.0
122	2020-10-14 15:00:00	15	95.0	13.0	100.0	60.0	1105.0	150.0	995.0
123	2020-10-14 18:00:00	18	30.0	20.0	85.0	60.0	1285.0	45.0	1175.0
124	2020-10-14 21:45:00	21	225.0	214.0	0.0	60.0	1510.0	0.0	0.0
125	2020-10-15 02:00:00	2	120.0	25.0	30.0	60.0	1765.0	0.0	255.0
126	2020-10-15 05:30:00	5	150.0	16.0	15.0	60.0	1975.0	210.0	465.0
127	2020-10-15 09:35:00	9	50.0	17.0	60.0	60.0	2220.0	60.0	85.0
128	2020-10-15 13:30:00	13	105.0	15.0	30.0	60.0	2455.0	30.0	320.0
129	2020-10-15 16:00:00	16	10.0	17.0	25.0	60.0	2605.0	180.0	470.0
130	2020-10-15 17:45:00	17	35.0	13.0	95.0	60.0	2710.0	35.0	575.0
131	2020-10-15 21:00:00	21	185.0	232.0	0.0	100.0	30.0	0.0	0.0
132	2020-10-16 00:25:00	0	150.0	18.0	20.0	100.0	235.0	205.0	205.0
133	2020-10-16 03:30:00	3	105.0	94.0	35.0	100.0	420.0	35.0	390.0
134	2020-10-16 05:30:00	5	100.0	15.0	15.0	100.0	540.0	155.0	510.0
135	2020-10-16 07:20:00	7	90.0	15.0	15.0	100.0	650.0	265.0	620.0
136	2020-10-16 10:50:00	10	25.0	19.0	90.0	100.0	860.0	120.0	830.0
137	2020-10-16 13:25:00	13	35.0	20.0	90.0	100.0	1015.0	15.0	985.0
138	2020-10-16 15:30:00	15	55.0	10.0	20.0	100.0	1140.0	140.0	1110.0
139	2020-10-16 18:50:00	18	20.0	8.0	65.0	100.0	1340.0	55.0	1310.0
140	2020-10-16 21:20:00	21	5.0	13.0	15.0	100.0	80.0	90.0	1460.0
141	2020-10-16 21:50:00	21	125.0	10.0	20.0	100.0	110.0	120.0	1490.0
142	2020-10-17 00:20:00	0	50.0	261.0	25.0	100.0	260.0	25.0	25.0
143	2020-10-17 01:20:00	1	60.0	7.0	10.0	100.0	320.0	85.0	85.0
144	2020-10-17 02:30:00	2	10.0	8.0	10.0	100.0	390.0	155.0	155.0
145	2020-10-17 03:25:00	3	10.0	19.0	20.0	100.0	445.0	25.0	210.0
146	2020-10-17 04:25:00	4	185.0	19.0	80.0	80.0	15.0	85.0	270.0
147	2020-10-17 08:10:00	8	140.0	28.0	30.0	80.0	240.0	30.0	495.0
148	2020-10-17 12:05:00	12	10.0	31.0	95.0	80.0	475.0	25.0	45.0
149	2020-10-17 14:10:00	14	105.0	11.0	60.0	80.0	600.0	70.0	170.0
150	2020-10-17 17:25:00	17	35.0	21.0	90.0	80.0	795.0	25.0	25.0
151	2020-10-17 20:15:00	20	10.0	16.0	20.0	100.0	35.0	45.0	195.0
152	2020-10-17 21:20:00	21	135.0	20.0	30.0	100.0	100.0	110.0	260.0
153	2020-10-17 23:50:00	23	165.0	190.0	0.0	100.0	250.0	0.0	0.0
154	2020-10-18 03:00:00	3	60.0	20.0	25.0	100.0	440.0	190.0	190.0
155	2020-10-18 04:10:00	4	90.0	12.0	10.0	100.0	510.0	260.0	260.0
156	2020-10-18 07:35:00	7	160.0	15.0	15.0	100.0	715.0	20.0	465.0
157	2020-10-18 12:10:00	12	30.0	21.0	115.0	100.0	990.0	80.0	80.0
158	2020-10-18 15:00:00	15	10.0	10.0	10.0	100.0	1160.0	100.0	250.0
159	2020-10-18 16:25:00	16	20.0	10.0	95.0	100.0	1245.0	70.0	335.0
160	2020-10-18 19:25:00	19	25.0	11.0	90.0	100.0	5.0	20.0	85.0
161	2020-10-18 19:55:00	19	60.0	11.0	120.0	100.0	35.0	50.0	115.0
162	2020-10-18 21:45:00	21	230.0	177.0	0.0	100.0	145.0	0.0	0.0
163	2020-10-19 01:50:00	1	30.0	12.0	15.0	100.0	390.0	245.0	245.0
164	2020-10-19 02:55:00	2	65.0	35.0	35.0	100.0	455.0	25.0	25.0
165	2020-10-19 04:30:00	4	240.0	20.0	20.0	100.0	550.0	120.0	120.0
166	2020-10-19 10:15:00	10	80.0	18.0	105.0	100.0	895.0	45.0	90.0
167	2020-10-19 13:10:00	13	80.0	20.0	85.0	100.0	1070.0	85.0	265.0
168	2020-10-19 14:50:00	14	10.0	20.0	20.0	100.0	1170.0	185.0	365.0
169	2020-10-19 16:00:00	16	45.0	20.0	90.0	100.0	1240.0	55.0	435.0
170	2020-10-19 18:00:00	18	20.0	31.0	65.0	100.0	1360.0	75.0	555.0
171	2020-10-19 22:10:00	22	170.0	214.0	0.0	100.0	120.0	0.0	0.0
172	2020-10-20 01:30:00	1	20.0	31.0	30.0	100.0	320.0	200.0	200.0
173	2020-10-20 02:20:00	2	55.0	30.0	30.0	100.0	370.0	250.0	250.0
