	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
61	2021-01-09 10:55:00	10	110.0	9.0	55.0	200.0	950.0	10.0	785.0	85.0
62	2021-01-09 14:05:00	14	90.0	7.0	65.0	200.0	1140.0	65.0	975.0	80.0
65	2021-01-10 08:50:00	8	40.0	12.0	90.0	200.0	835.0	90.0	780.0	90.0
66	2021-01-10 11:30:00	11	35.0	9.0	90.0	200.0	995.0	10.0	105.0	120.0
67	2021-01-10 13:25:00	13	97.0	9.0	35.0	200.0	1110.0	125.0	10.0	83.0
68	2021-01-10 17:15:00	17	30.0	7.0	80.0	200.0	1340.0	115.0	240.0	130.0
70	2021-01-11 06:05:00	6	70.0	44.0	390.0	200.0	695.0	390.0	390.0	3.0
71	2021-01-11 10:20:00	10	91.0	7.0	30.0	200.0	950.0	5.0	645.0	189.0
72	2021-01-11 14:20:00	14	25.0	6.0	85.0	200.0	1190.0	20.0	885.0	145.0
73	2021-01-11 17:10:00	17	33.0	10.0	70.0	200.0	1360.0	80.0	80.0	147.0
78	2021-01-12 08:50:00	8	60.0	9.0	110.0	200.0	830.0	10.0	600.0	110.0
79	2021-01-12 12:15:00	12	30.0	9.0	135.0	200.0	1035.0	215.0	805.0	145.0
80	2021-01-12 13:55:00	13	40.0	6.0	60.0	200.0	1135.0	10.0	905.0	70.0
81	2021-01-12 14:55:00	14	65.0	6.0	120.0	200.0	1195.0	70.0	965.0	20.0
84	2021-01-13 08:30:00	8	20.0	11.0	85.0	200.0	810.0	85.0	730.0	90.0
85	2021-01-13 10:35:00	10	60.0	8.0	35.0	200.0	935.0	15.0	855.0	105.0
86	2021-01-13 14:20:00	14	10.0	6.0	80.0	200.0	1160.0	50.0	50.0	165.0
87	2021-01-13 14:45:00	14	27.0	6.0	105.0	200.0	1185.0	75.0	75.0	18.0
88	2021-01-13 15:20:00	15	71.0	6.0	140.0	200.0	1220.0	110.0	110.0	9.0
91	2021-01-14 08:50:00	8	45.0	9.0	105.0	200.0	840.0	105.0	770.0	165.0
92	2021-01-14 11:30:00	11	120.0	7.0	90.0	200.0	1000.0	25.0	930.0	115.0
93	2021-01-14 15:15:00	15	40.0	12.0	95.0	200.0	1225.0	30.0	1155.0	105.0
95	2021-01-15 08:35:00	8	40.0	9.0	95.0	200.0	820.0	100.0	750.0	110.0
96	2021-01-15 11:00:00	11	90.0	8.0	60.0	200.0	965.0	95.0	895.0	105.0
