	datetime	hour	sleep_minutes	last_mothermilk	last_mothermilk_before	last_milk	last_milk_before	last_small_before	last_big_before	last_wake_minutes
1	2021-02-01 09:05:00	9	45.0	11.0	160.0	0	0	35.0	0	160.0
2	2021-02-01 12:05:00	12	98.0	6.0	90.0	0	0	35.0	0	135.0
3	2021-02-01 15:30:00	15	50.0	9.0	75.0	0	0	105.0	0	107.0
7	2021-02-02 08:35:00	8	41.0	12.0	115.0	200.0	880.0	70.0	665.0	119.0
8	2021-02-02 11:00:00	11	4.0	7.0	55.0	200.0	1025.0	80.0	810.0	58.0
9	2021-02-02 12:00:00	12	13.0	7.0	115.0	200.0	1085.0	5.0	870.0	58.0
10	2021-02-02 12:15:00	12	98.0	7.0	130.0	200.0	1100.0	20.0	885.0	2.0
11	2021-02-02 16:40:00	16	20.0	8.0	125.0	200.0	1365.0	40.0	1150.0	165.0
13	2021-02-03 08:50:00	8	25.0	13.0	120.0	200.0	880.0	5.0	100.0	120.0
14	2021-02-03 11:30:00	11	100.0	5.0	70.0	200.0	1040.0	30.0	260.0	135.0
15	2021-02-03 16:05:00	16	30.0	9.0	120.0	200.0	1315.0	70.0	30.0	175.0
18	2021-02-04 08:15:00	8	15.0	11.0	130.0	200.0	845.0	120.0	740.0	135.0
19	2021-02-04 08:40:00	8	65.0	11.0	155.0	200.0	870.0	145.0	765.0	10.0
20	2021-02-04 11:40:00	11	100.0	8.0	85.0	200.0	1050.0	110.0	945.0	115.0
21	2021-02-04 16:00:00	16	35.0	6.0	110.0	200.0	1310.0	10.0	1205.0	160.0
23	2021-02-05 08:20:00	8	55.0	9.0	120.0	200.0	840.0	105.0	735.0	120.0
24	2021-02-05 11:10:00	11	86.0	8.0	65.0	200.0	1010.0	15.0	905.0	119.0
25	2021-02-05 12:45:00	12	4.0	8.0	160.0	200.0	1105.0	110.0	1000.0	9.0
26	2021-02-05 15:05:00	15	35.0	7.0	55.0	200.0	1245.0	100.0	1140.0	134.0
27	2021-02-05 17:30:00	17	30.0	7.0	200.0	200.0	1390.0	55.0	1285.0	108.0
30	2021-02-06 08:10:00	8	35.0	30.0	120.0	200.0	825.0	65.0	65.0	175.0
31	2021-02-06 10:55:00	10	90.0	30.0	285.0	160.0	30.0	10.0	230.0	130.0
32	2021-02-06 15:55:00	15	30.0	8.0	85.0	160.0	330.0	70.0	530.0	210.0
35	2021-02-07 08:25:00	8	90.0	9.0	125.0	200.0	865.0	5.0	130.0	145.0
