	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2020-10-01	01:00:00	11					
1	2020-10-01	03:10:00	30					
2	2020-10-01	06:45:00						0
3	2020-10-01	06:45:00				1		
4	2020-10-01	06:45:00	23					
5	2020-10-01	07:50:00				1		
6	2020-10-01	07:50:00					1	
7	2020-10-01	08:45:00	9					
8	2020-10-01	08:55:00						1
9	2020-10-01	09:20:00						0
10	2020-10-01	10:15:00						1
11	2020-10-01	11:55:00						0
12	2020-10-01	11:55:00	17					
13	2020-10-01	12:40:00				1		
14	2020-10-01	13:10:00						1
15	2020-10-01	14:05:00						0
16	2020-10-01	14:10:00	26					
17	2020-10-01	14:35:00						1
18	2020-10-01	15:55:00				1		
19	2020-10-01	15:55:00						0
20	2020-10-01	15:55:00	21					
21	2020-10-01	16:20:00						1
22	2020-10-01	16:25:00						0
23	2020-10-01	17:20:00						1
24	2020-10-01	18:05:00						0
25	2020-10-01	18:10:00						1
26	2020-10-01	18:20:00						0
27	2020-10-01	18:35:00				1		
28	2020-10-01	18:40:00	15					
29	2020-10-01	19:25:00	47					
30	2020-10-01	21:00:00		100				
31	2020-10-01	21:30:00	6					
32	2020-10-01	21:40:00						1
33	2020-10-01	23:40:00						0
34	2020-10-01	23:40:00	15					
35	2020-10-01	23:40:00	221					
36	2020-10-01	23:40:00				1		
37	2020-10-01	23:40:00					1	
38	2020-10-02	00:00:00						1
39	2020-10-02	02:20:00						0
40	2020-10-02	02:30:00				1		
41	2020-10-02	02:30:00					1	
42	2020-10-02	02:30:00	20					
43	2020-10-02	03:00:00						1
44	2020-10-02	05:15:00						0
45	2020-10-02	05:15:00	45					
46	2020-10-02	06:00:00						1
47	2020-10-02	07:20:00						0
48	2020-10-02	07:50:00	9					
49	2020-10-02	08:00:00				1		
50	2020-10-02	08:00:00					1	
51	2020-10-02	08:05:00	5					
52	2020-10-02	08:45:00				1		
53	2020-10-02	09:00:00						1
54	2020-10-02	10:40:00						0
55	2020-10-02	11:15:00	28					
56	2020-10-02	12:00:00				1		
57	2020-10-02	12:50:00	20					
58	2020-10-02	13:25:00				1		
59	2020-10-02	13:30:00				1		
60	2020-10-02	13:30:00					1	
61	2020-10-02	13:55:00	10					
62	2020-10-02	14:10:00						1
63	2020-10-02	15:00:00						0
64	2020-10-02	15:00:00	14					
65	2020-10-02	15:15:00						1
66	2020-10-02	16:05:00						0
67	2020-10-02	16:30:00				1		
68	2020-10-02	16:50:00	22					
69	2020-10-02	17:15:00				1		
70	2020-10-02	18:40:00						1
71	2020-10-02	19:15:00						0
72	2020-10-02	19:35:00						1
73	2020-10-02	20:00:00						0
74	2020-10-02	20:15:00	24					
75	2020-10-02	21:20:00				1		
76	2020-10-02	21:30:00		50				
77	2020-10-02	21:35:00	13					
78	2020-10-02	21:45:00						1
79	2020-10-02	21:55:00						0
80	2020-10-02	21:55:00	19					
81	2020-10-02	22:15:00						1
82	2020-10-02	22:15:00	228					
83	2020-10-02	22:15:00				1		
84	2020-10-02	22:15:00					1	
85	2020-10-03	01:30:00	20					
86	2020-10-03	01:30:00						0
87	2020-10-03	01:45:00						1
88	2020-10-03	04:15:00	49					
89	2020-10-03	04:15:00						0
90	2020-10-03	04:30:00						1
91	2020-10-03	05:45:00	82					
92	2020-10-03	05:45:00						0
93	2020-10-03	06:00:00						1
94	2020-10-03	07:05:00	15					
95	2020-10-03	07:05:00						0
96	2020-10-03	07:20:00						1
97	2020-10-03	10:00:00						0
98	2020-10-03	10:00:00				1		
99	2020-10-03	10:00:00	17					
100	2020-10-03	11:10:00				1		
101	2020-10-03	11:10:00					1	
102	2020-10-03	11:10:00						1
103	2020-10-03	12:45:00						0
104	2020-10-03	12:45:00	17					
105	2020-10-03	13:20:00				1		
106	2020-10-03	14:15:00						1
107	2020-10-03	14:50:00						0
108	2020-10-03	15:10:00				1		
109	2020-10-03	15:10:00	30					
110	2020-10-03	15:50:00						1
111	2020-10-03	16:20:00	10					
112	2020-10-03	16:20:00						0
113	2020-10-03	16:30:00						1
114	2020-10-03	16:55:00	13					
115	2020-10-03	16:55:00						0
116	2020-10-03	18:30:00	29					
117	2020-10-03	19:05:00				1		
118	2020-10-03	19:50:00	27					
119	2020-10-03	20:15:00						1
120	2020-10-03	20:25:00						0
121	2020-10-03	21:00:00		100				
122	2020-10-03	21:20:00	59					
123	2020-10-03	22:20:00						1
124	2020-10-03	22:25:00						0
125	2020-10-03	22:25:00	18					
126	2020-10-03	22:45:00						1
127	2020-10-03	22:45:00	387					
128	2020-10-03	22:45:00				1		
129	2020-10-03	22:45:00					1	
130	2020-10-04	00:30:00						0
131	2020-10-04	00:30:00	15					
132	2020-10-04	00:45:00						1
133	2020-10-04	03:40:00						0
134	2020-10-04	03:40:00				1		
135	2020-10-04	04:05:00	26					
136	2020-10-04	04:30:00						1
137	2020-10-04	06:35:00						0
138	2020-10-04	06:35:00	69					
139	2020-10-04	07:45:00						1
140	2020-10-04	08:15:00						0
141	2020-10-04	08:20:00				1		
142	2020-10-04	09:10:00				1		
143	2020-10-04	09:15:00	20					
144	2020-10-04	09:35:00						1
145	2020-10-04	09:50:00						0
146	2020-10-04	11:10:00						1
147	2020-10-04	13:00:00						0
148	2020-10-04	13:25:00	13					
149	2020-10-04	14:30:00						1
150	2020-10-04	15:25:00						0
151	2020-10-04	15:40:00				1		
152	2020-10-04	15:55:00	24					
153	2020-10-04	18:15:00	26					
154	2020-10-04	19:25:00		60				
155	2020-10-04	19:40:00						1
156	2020-10-04	21:55:00						0
157	2020-10-04	21:55:00	23					
158	2020-10-04	22:15:00						1
159	2020-10-04	22:15:00	215					
160	2020-10-04	22:15:00				1		
161	2020-10-04	22:15:00					1	
162	2020-10-05	00:30:00						0
163	2020-10-05	00:40:00	30					
164	2020-10-05	01:10:00						1
165	2020-10-05	04:00:00	20					
166	2020-10-05	04:00:00						0
167	2020-10-05	04:00:00				1		
168	2020-10-05	04:30:00						1
169	2020-10-05	06:30:00	40					
170	2020-10-05	06:30:00						0
171	2020-10-05	07:35:00						1
172	2020-10-05	07:50:00						0
173	2020-10-05	07:55:00				1		
174	2020-10-05	08:15:00				1		
175	2020-10-05	08:45:00				1		
176	2020-10-05	08:45:00	19					
177	2020-10-05	09:05:00						1
178	2020-10-05	09:10:00						0
179	2020-10-05	09:35:00	26					
180	2020-10-05	10:00:00						1
181	2020-10-05	11:35:00						0
182	2020-10-05	11:55:00					1	
183	2020-10-05	12:40:00	18					
184	2020-10-05	13:05:00				1		
185	2020-10-05	13:30:00				1		
186	2020-10-05	13:50:00						1
187	2020-10-05	14:50:00						0
188	2020-10-05	14:55:00	19					
189	2020-10-05	15:15:00						1
190	2020-10-05	15:30:00						0
191	2020-10-05	16:00:00				1		
192	2020-10-05	16:30:00						1
193	2020-10-05	18:00:00						0
194	2020-10-05	18:20:00				1		
195	2020-10-05	18:20:00					1	
196	2020-10-05	18:20:00	21					
197	2020-10-05	19:00:00					1	
198	2020-10-05	19:30:00	12					
199	2020-10-05	20:20:00			70			
200	2020-10-05	20:35:00						1
201	2020-10-05	20:55:00						0
202	2020-10-05	21:00:00			50			
203	2020-10-05	21:15:00						1
204	2020-10-05	21:30:00						0
205	2020-10-05	21:40:00	20					
206	2020-10-05	22:00:00						1
207	2020-10-05	22:20:00						0
208	2020-10-05	22:25:00	15					
209	2020-10-05	22:40:00						1
210	2020-10-05	22:40:00	240					
211	2020-10-05	22:40:00				1		
212	2020-10-05	22:40:00					1	
213	2020-10-06	00:00:00				1		
214	2020-10-06	00:00:00						0
215	2020-10-06	00:05:00	33					
216	2020-10-06	00:40:00						1
217	2020-10-06	02:50:00						0
218	2020-10-06	02:50:00				1		
219	2020-10-06	02:50:00	15					
220	2020-10-06	03:05:00						1
221	2020-10-06	05:15:00	63					
222	2020-10-06	05:15:00						0
223	2020-10-06	05:30:00						1
224	2020-10-06	06:15:00						0
225	2020-10-06	06:15:00	13					
226	2020-10-06	06:30:00						1
227	2020-10-06	06:35:00						0
228	2020-10-06	06:40:00				1		
229	2020-10-06	07:00:00				1		
230	2020-10-06	07:00:00					1	
231	2020-10-06	07:45:00	22					
232	2020-10-06	08:35:00	5					
233	2020-10-06	09:00:00				1		
234	2020-10-06	09:15:00						1
235	2020-10-06	10:10:00						0
236	2020-10-06	10:20:00						1
237	2020-10-06	11:50:00						0
238	2020-10-06	11:50:00	12					
239	2020-10-06	12:40:00						1
240	2020-10-06	15:15:00						0
241	2020-10-06	15:15:00	30					
242	2020-10-06	16:25:00				1		
243	2020-10-06	16:45:00						1
244	2020-10-06	18:15:00						0
245	2020-10-06	18:30:00				1		
246	2020-10-06	18:30:00	9					
247	2020-10-06	19:50:00		100				
248	2020-10-06	20:05:00	31					
249	2020-10-06	20:35:00						1
250	2020-10-06	20:50:00						0
251	2020-10-06	20:55:00	15					
252	2020-10-06	21:10:00						1
253	2020-10-06	21:30:00						0
254	2020-10-06	21:50:00						1
255	2020-10-06	22:20:00						0
256	2020-10-06	22:25:00	6					
257	2020-10-06	22:30:00						1
258	2020-10-06	22:30:00	255					
259	2020-10-06	22:30:00				1		
260	2020-10-06	22:30:00					1	
261	2020-10-07	00:05:00						0
262	2020-10-07	00:05:00	26					
263	2020-10-07	00:30:00						1
264	2020-10-07	00:55:00	10					
265	2020-10-07	00:55:00						0
266	2020-10-07	01:05:00						1
267	2020-10-07	06:05:00						0
268	2020-10-07	06:05:00	39					
269	2020-10-07	07:20:00				1		
270	2020-10-07	07:20:00					1	
271	2020-10-07	07:50:00				1		
272	2020-10-07	07:50:00	18					
273	2020-10-07	08:35:00	22					
274	2020-10-07	09:30:00						1
275	2020-10-07	11:30:00						0
276	2020-10-07	11:30:00				1		
277	2020-10-07	11:30:00	27					
278	2020-10-07	13:10:00				1		
279	2020-10-07	13:25:00						1
280	2020-10-07	14:05:00						0
281	2020-10-07	14:10:00						1
282	2020-10-07	15:00:00						0
283	2020-10-07	15:00:00	21					
284	2020-10-07	15:30:00				1		
285	2020-10-07	16:25:00						1
286	2020-10-07	18:05:00						0
287	2020-10-07	18:05:00	16					
288	2020-10-07	19:10:00	3					
289	2020-10-07	19:50:00						1
290	2020-10-07	20:00:00						0
291	2020-10-07	20:00:00				1		
292	2020-10-07	20:40:00		100				
293	2020-10-07	21:00:00		100				
294	2020-10-07	21:15:00						1
295	2020-10-07	23:05:00						0
296	2020-10-07	23:05:00	18					
297	2020-10-07	23:25:00						1
298	2020-10-07	23:25:00	199					
299	2020-10-07	23:25:00				1		
300	2020-10-07	23:25:00					1	
301	2020-10-08	01:40:00						0
302	2020-10-08	01:40:00	37					
303	2020-10-08	02:20:00						1
304	2020-10-08	06:10:00						0
305	2020-10-08	06:10:00	45					
306	2020-10-08	07:05:00				1		
307	2020-10-08	07:05:00	8					
308	2020-10-08	07:15:00				1		
309	2020-10-08	07:15:00					1	
310	2020-10-08	08:10:00				1		
311	2020-10-08	08:20:00	95					
312	2020-10-08	11:25:00	4					
313	2020-10-08	11:40:00						1
314	2020-10-08	14:15:00						0
315	2020-10-08	14:15:00				1		
316	2020-10-08	14:25:00				1		
317	2020-10-08	14:25:00	13					
318	2020-10-08	15:25:00	18					
319	2020-10-08	16:00:00				1		
320	2020-10-08	16:35:00						1
321	2020-10-08	17:25:00						0
322	2020-10-08	17:30:00	23					
323	2020-10-08	19:00:00	19					
324	2020-10-08	19:30:00				1		
325	2020-10-08	19:55:00		100				
326	2020-10-08	20:10:00		50				
327	2020-10-08	20:35:00				1		
328	2020-10-08	20:35:00					1	
329	2020-10-08	20:40:00				1		
330	2020-10-08	20:40:00	49					
331	2020-10-08	22:15:00						1
332	2020-10-08	22:15:00	312					
333	2020-10-08	22:15:00				1		
334	2020-10-08	22:15:00					1	
335	2020-10-09	00:40:00						0
336	2020-10-09	00:40:00	16					
337	2020-10-09	00:55:00				1		
338	2020-10-09	01:00:00						1
339	2020-10-09	04:20:00	32					
340	2020-10-09	04:20:00						0
341	2020-10-09	04:30:00						1
342	2020-10-09	05:00:00				1		
343	2020-10-09	05:00:00	86					
344	2020-10-09	05:00:00						0
345	2020-10-09	06:00:00						1
346	2020-10-09	07:45:00						0
347	2020-10-09	08:00:00				1		
348	2020-10-09	08:20:00	9					
349	2020-10-09	08:45:00	7					
350	2020-10-09	09:05:00				1		
351	2020-10-09	09:20:00						1
352	2020-10-09	10:55:00						0
353	2020-10-09	11:05:00				1		
354	2020-10-09	11:10:00	20					
355	2020-10-09	11:55:00				1		
356	2020-10-09	12:50:00						1
357	2020-10-09	13:25:00						0
358	2020-10-09	14:15:00	7					
359	2020-10-09	14:25:00				1		
360	2020-10-09	15:00:00						1
361	2020-10-09	15:30:00						0
362	2020-10-09	16:00:00						1
363	2020-10-09	17:00:00						0
364	2020-10-09	17:30:00				1		
365	2020-10-09	17:30:00	4					
366	2020-10-09	18:10:00	11					
367	2020-10-09	19:20:00						1
368	2020-10-09	19:40:00						0
369	2020-10-09	20:10:00	15					
370	2020-10-09	20:25:00						1
371	2020-10-09	20:40:00						0
372	2020-10-09	21:10:00	5					
373	2020-10-09	21:15:00		50				
374	2020-10-09	21:25:00	63					
375	2020-10-09	22:30:00						1
376	2020-10-09	22:30:00	276					
377	2020-10-09	22:30:00				1		
378	2020-10-09	22:30:00					1	
379	2020-10-10	02:30:00	25					
