	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2020-08-01	07:05:00						0
1	2020-08-01	07:05:00				1		
2	2020-08-01	07:05:00	25					
3	2020-08-01	07:35:00						1
4	2020-08-01	08:20:00						0
5	2020-08-01	08:30:00				1		
6	2020-08-01	08:50:00	19					
7	2020-08-01	09:50:00						1
8	2020-08-01	10:55:00						0
9	2020-08-01	10:55:00	20					
10	2020-08-01	11:40:00				1		
11	2020-08-01	11:40:00	14					
12	2020-08-01	12:35:00						1
13	2020-08-01	13:40:00						0
14	2020-08-01	13:45:00				1		
15	2020-08-01	13:55:00	14					
16	2020-08-01	14:30:00			70			
17	2020-08-01	15:05:00					1	
18	2020-08-01	15:40:00						1
19	2020-08-01	16:15:00						0
20	2020-08-01	16:15:00				1		
21	2020-08-01	16:15:00	11					
22	2020-08-01	17:00:00			80			
23	2020-08-01	17:10:00						1
24	2020-08-01	21:50:00						0
25	2020-08-01	21:50:00				1		
26	2020-08-01	21:50:00	18					
27	2020-08-01	22:45:00			40			
28	2020-08-01	22:55:00	12					
29	2020-08-01	23:40:00				1		
30	2020-08-01	23:40:00			40			
31	2020-08-01	23:50:00	10					
32	2020-08-01	23:50:00	141					
33	2020-08-01	23:50:00				1		
34	2020-08-01	23:50:00					1	
35	2020-08-02	00:00:00						1
36	2020-08-02	06:55:00				1		
37	2020-08-02	06:55:00						0
38	2020-08-02	06:55:00	15					
39	2020-08-02	07:45:00			80			
40	2020-08-02	09:00:00	12					
41	2020-08-02	09:15:00						1
42	2020-08-02	09:35:00						0
43	2020-08-02	09:45:00						1
44	2020-08-02	10:10:00				1		
45	2020-08-02	10:10:00						0
46	2020-08-02	10:35:00						1
47	2020-08-02	11:15:00						0
48	2020-08-02	11:20:00				1		
49	2020-08-02	11:20:00	13					
50	2020-08-02	11:35:00						1
51	2020-08-02	12:50:00						0
52	2020-08-02	12:50:00	11					
53	2020-08-02	12:50:00				1		
54	2020-08-02	13:25:00				1		
55	2020-08-02	13:35:00	10					
56	2020-08-02	14:20:00			40			
57	2020-08-02	15:00:00						1
58	2020-08-02	17:55:00						0
59	2020-08-02	17:55:00				1		
60	2020-08-02	17:55:00	14					
61	2020-08-02	18:15:00				1		
62	2020-08-02	18:40:00			80			
63	2020-08-02	19:00:00	9					
64	2020-08-02	19:50:00				1		
65	2020-08-02	19:50:00					1	
66	2020-08-02	19:55:00	13					
67	2020-08-02	20:10:00						1
68	2020-08-02	22:15:00				1		
69	2020-08-02	22:15:00						0
70	2020-08-02	22:15:00	10					
71	2020-08-02	22:40:00			70			
72	2020-08-02	22:55:00						1
73	2020-08-02	22:55:00	108					
74	2020-08-02	22:55:00				1		
75	2020-08-02	22:55:00					1	
76	2020-08-03	03:25:00						0
77	2020-08-03	03:25:00				1		
78	2020-08-03	03:25:00					1	
79	2020-08-03	03:25:00	23					
80	2020-08-03	03:45:00						1
81	2020-08-03	06:25:00						0
82	2020-08-03	06:25:00				1		
83	2020-08-03	06:25:00	16					
84	2020-08-03	06:45:00						1
85	2020-08-03	08:05:00						0
86	2020-08-03	08:05:00	20					
87	2020-08-03	08:50:00				1		
88	2020-08-03	08:55:00	14					
89	2020-08-03	09:20:00						1
90	2020-08-03	09:45:00						0
91	2020-08-03	09:55:00				1		
92	2020-08-03	09:55:00					1	
93	2020-08-03	09:55:00	13					
94	2020-08-03	10:10:00						1
95	2020-08-03	10:25:00	6					
96	2020-08-03	10:25:00						0
97	2020-08-03	10:35:00	15					
98	2020-08-03	10:50:00						1
99	2020-08-03	11:50:00						0
100	2020-08-03	11:55:00				1		
101	2020-08-03	11:55:00	9					
102	2020-08-03	12:05:00						1
103	2020-08-03	13:20:00						0
104	2020-08-03	13:20:00				1		
105	2020-08-03	13:20:00	12					
106	2020-08-03	14:00:00			60			
107	2020-08-03	14:20:00						1
108	2020-08-03	14:40:00						0
109	2020-08-03	15:00:00				1		
110	2020-08-03	15:00:00					1	
111	2020-08-03	15:30:00	16					
112	2020-08-03	15:50:00						1
113	2020-08-03	17:05:00				1		
114	2020-08-03	17:05:00						0
115	2020-08-03	17:05:00	18					
116	2020-08-03	17:25:00						1
117	2020-08-03	19:25:00				1		
118	2020-08-03	19:25:00						0
119	2020-08-03	19:25:00	14					
120	2020-08-03	20:20:00			70			
121	2020-08-03	20:50:00	13					
122	2020-08-03	21:00:00						1
123	2020-08-03	21:00:00	188					
124	2020-08-03	21:00:00				1		
125	2020-08-03	21:00:00					1	
126	2020-08-04	00:55:00						0
127	2020-08-04	00:55:00				1		
128	2020-08-04	00:55:00	19					
129	2020-08-04	01:50:00	20					
130	2020-08-04	02:30:00			40			
131	2020-08-04	02:45:00		40				
132	2020-08-04	02:55:00						1
133	2020-08-04	03:25:00						0
134	2020-08-04	03:30:00	6					
135	2020-08-04	03:45:00				1		
136	2020-08-04	03:45:00					1	
137	2020-08-04	03:45:00	6					
138	2020-08-04	03:50:00						1
139	2020-08-04	08:45:00						0
140	2020-08-04	08:45:00				1		
141	2020-08-04	08:45:00	20					
142	2020-08-04	09:45:00				1		
143	2020-08-04	09:45:00	9					
144	2020-08-04	10:15:00						1
145	2020-08-04	11:00:00						0
146	2020-08-04	11:30:00				1		
147	2020-08-04	11:30:00	15					
148	2020-08-04	12:25:00				1		
149	2020-08-04	12:50:00			80			
150	2020-08-04	12:55:00	14					
151	2020-08-04	13:10:00						1
152	2020-08-04	13:40:00				1		
153	2020-08-04	13:40:00						0
154	2020-08-04	13:50:00						1
155	2020-08-04	17:35:00						0
156	2020-08-04	17:35:00				1		
157	2020-08-04	17:35:00	16					
158	2020-08-04	17:50:00						1
159	2020-08-04	18:55:00						0
160	2020-08-04	19:00:00				1		
161	2020-08-04	19:15:00				1		
162	2020-08-04	19:35:00			70			
163	2020-08-04	19:50:00	11					
164	2020-08-04	20:15:00						1
165	2020-08-04	20:15:00	135					
166	2020-08-04	20:15:00				1		
167	2020-08-04	20:15:00					1	
168	2020-08-05	00:15:00						0
169	2020-08-05	00:15:00				1		
170	2020-08-05	00:15:00	19					
171	2020-08-05	01:20:00			90			
172	2020-08-05	01:20:00				1		
173	2020-08-05	01:45:00	33					
174	2020-08-05	02:20:00						1
175	2020-08-05	05:35:00						0
176	2020-08-05	05:35:00				1		
177	2020-08-05	05:35:00	16					
178	2020-08-05	06:10:00						1
179	2020-08-05	07:00:00						0
180	2020-08-05	07:50:00				1		
181	2020-08-05	07:50:00	22					
182	2020-08-05	08:25:00						1
183	2020-08-05	08:30:00						0
184	2020-08-05	08:50:00	20					
185	2020-08-05	09:50:00	13					
186	2020-08-05	10:30:00				1		
187	2020-08-05	10:40:00	11					
188	2020-08-05	11:15:00				1		
189	2020-08-05	11:50:00				1		
190	2020-08-05	11:50:00					1	
191	2020-08-05	12:15:00						1
192	2020-08-05	13:15:00						0
193	2020-08-05	13:15:00	22					
194	2020-08-05	14:35:00						1
195	2020-08-05	14:45:00						0
196	2020-08-05	14:55:00	8					
197	2020-08-05	15:50:00	18					
198	2020-08-05	16:10:00						1
199	2020-08-05	16:40:00						0
200	2020-08-05	16:50:00				1		
201	2020-08-05	17:00:00			70			
202	2020-08-05	17:05:00	12					
203	2020-08-05	17:20:00						1
204	2020-08-05	20:55:00						0
205	2020-08-05	20:55:00				1		
206	2020-08-05	20:55:00	22					
207	2020-08-05	21:35:00						1
208	2020-08-05	22:20:00						0
209	2020-08-05	22:20:00			40			
210	2020-08-05	22:25:00	13					
211	2020-08-05	23:00:00				1		
212	2020-08-05	23:30:00		60				
213	2020-08-05	23:30:00	230					
214	2020-08-05	23:30:00				1		
215	2020-08-05	23:30:00					1	
216	2020-08-06	00:10:00				1		
217	2020-08-06	00:10:00	34					
218	2020-08-06	00:45:00						1
219	2020-08-06	03:30:00						0
220	2020-08-06	03:30:00				1		
221	2020-08-06	03:30:00	20					
222	2020-08-06	03:50:00						1
223	2020-08-06	07:40:00						0
224	2020-08-06	07:40:00				1		
225	2020-08-06	07:40:00	16					
226	2020-08-06	08:40:00				1		
227	2020-08-06	08:50:00	17					
228	2020-08-06	09:20:00				1		
229	2020-08-06	09:25:00	10					
230	2020-08-06	09:45:00				1		
231	2020-08-06	10:10:00	18					
232	2020-08-06	11:15:00					1	
233	2020-08-06	11:35:00						1
234	2020-08-06	11:50:00						0
235	2020-08-06	12:00:00						1
236	2020-08-06	13:50:00				1		
