	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2020-11-01	01:55:00						0
1	2020-11-01	01:55:00	23					
2	2020-11-01	02:20:00						1
3	2020-11-01	02:25:00	20					
4	2020-11-01	02:25:00						0
5	2020-11-01	02:25:00				1		
6	2020-11-01	02:45:00						1
7	2020-11-01	04:35:00						0
8	2020-11-01	04:35:00	10					
9	2020-11-01	04:45:00						1
10	2020-11-01	06:45:00						0
11	2020-11-01	06:45:00	29					
12	2020-11-01	07:35:00				1		
13	2020-11-01	07:35:00					1	
14	2020-11-01	08:30:00	27					
15	2020-11-01	11:20:00						1
16	2020-11-01	12:50:00						0
17	2020-11-01	12:50:00	17					
18	2020-11-01	14:45:00	15					
19	2020-11-01	15:00:00						1
20	2020-11-01	16:10:00						0
21	2020-11-01	16:10:00	15					
22	2020-11-01	16:25:00						1
23	2020-11-01	16:45:00						0
24	2020-11-01	17:35:00				1		
25	2020-11-01	18:10:00						1
26	2020-11-01	18:35:00						0
27	2020-11-01	18:35:00	8					
28	2020-11-01	19:50:00				1		
29	2020-11-01	20:00:00		120				
30	2020-11-01	20:25:00	24					
31	2020-11-01	21:05:00						1
32	2020-11-01	23:45:00						0
33	2020-11-01	23:45:00	28					
34	2020-11-01	23:45:00	215					
35	2020-11-01	23:45:00				1		
36	2020-11-01	23:45:00					1	
37	2020-11-02	00:15:00						1
38	2020-11-02	02:05:00				1		
39	2020-11-02	02:05:00						0
40	2020-11-02	02:05:00	15					
41	2020-11-02	02:20:00						1
42	2020-11-02	04:30:00						0
43	2020-11-02	04:30:00	15					
44	2020-11-02	04:45:00						1
45	2020-11-02	05:50:00						0
46	2020-11-02	05:50:00	13					
47	2020-11-02	06:35:00	20					
48	2020-11-02	07:00:00				1		
49	2020-11-02	07:45:00						1
50	2020-11-02	08:20:00						0
51	2020-11-02	08:25:00	11					
52	2020-11-02	08:45:00				1		
53	2020-11-02	08:45:00					1	
54	2020-11-02	10:45:00						1
55	2020-11-02	11:15:00						0
56	2020-11-02	11:15:00	19					
57	2020-11-02	12:00:00				1		
58	2020-11-02	12:00:00					1	
59	2020-11-02	12:50:00						1
60	2020-11-02	13:20:00						0
61	2020-11-02	13:55:00	15					
62	2020-11-02	14:55:00				1		
63	2020-11-02	14:55:00					1	
64	2020-11-02	15:45:00						1
65	2020-11-02	17:40:00						0
66	2020-11-02	17:40:00	17					
67	2020-11-02	19:20:00	19					
68	2020-11-02	19:50:00				1		
69	2020-11-02	20:00:00		120				
70	2020-11-02	20:05:00	4					
71	2020-11-02	20:15:00	6					
72	2020-11-02	20:35:00	53					
73	2020-11-02	21:30:00						1
74	2020-11-02	21:30:00	207					
75	2020-11-02	21:30:00				1		
76	2020-11-02	21:30:00					1	
77	2020-11-03	00:05:00				1		
78	2020-11-03	00:20:00						0
79	2020-11-03	00:20:00	16					
80	2020-11-03	00:35:00						1
81	2020-11-03	03:00:00	15					
82	2020-11-03	03:00:00						0
83	2020-11-03	03:15:00						1
84	2020-11-03	06:40:00						0
85	2020-11-03	06:40:00	13					
86	2020-11-03	07:10:00				1		
87	2020-11-03	07:10:00					1	
88	2020-11-03	08:05:00	22					
89	2020-11-03	08:30:00				1		
90	2020-11-03	09:25:00	26					
91	2020-11-03	09:50:00						1
92	2020-11-03	11:50:00						0
93	2020-11-03	12:00:00	10					
94	2020-11-03	12:10:00				1		
95	2020-11-03	13:40:00						1
96	2020-11-03	13:50:00						0
97	2020-11-03	14:00:00				1		
98	2020-11-03	14:30:00				1		
99	2020-11-03	14:45:00	20					
100	2020-11-03	15:30:00				1		
101	2020-11-03	15:30:00					1	
102	2020-11-03	17:15:00						1
103	2020-11-03	18:10:00						0
104	2020-11-03	18:10:00	20					
105	2020-11-03	19:30:00				1		
106	2020-11-03	19:45:00		120				
107	2020-11-03	19:50:00	43					
108	2020-11-03	20:20:00						1
109	2020-11-03	23:05:00						0
110	2020-11-03	23:05:00	33					
111	2020-11-03	23:40:00						1
112	2020-11-03	23:45:00						0
