	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2020-09-01	00:00:00						1
1	2020-09-01	04:40:00	29					
2	2020-09-01	07:15:00	27					
3	2020-09-01	08:40:00	14					
4	2020-09-01	09:00:00						0
5	2020-09-01	09:00:00				1		
6	2020-09-01	09:40:00	20					
7	2020-09-01	10:35:00	25					
8	2020-09-01	11:45:00						1
9	2020-09-01	12:50:00						0
10	2020-09-01	13:00:00	14					
11	2020-09-01	13:15:00				1		
12	2020-09-01	13:45:00						1
13	2020-09-01	16:10:00						0
14	2020-09-01	16:40:00	17					
15	2020-09-01	17:00:00				1		
16	2020-09-01	17:15:00						1
17	2020-09-01	17:40:00						0
18	2020-09-01	17:50:00	35					
19	2020-09-01	18:30:00	16					
20	2020-09-01	19:00:00				1		
21	2020-09-01	19:50:00			40			
22	2020-09-01	20:00:00	26					
23	2020-09-01	21:15:00		60				
24	2020-09-01	22:10:00	24					
25	2020-09-01	22:50:00						1
26	2020-09-01	23:15:00						0
27	2020-09-01	23:25:00						1
28	2020-09-01	23:25:00	248					
29	2020-09-01	23:25:00				1		
30	2020-09-01	23:25:00					1	
31	2020-09-02	01:10:00	40					
32	2020-09-02	04:30:00	18					
33	2020-09-02	04:30:00						0
34	2020-09-02	04:55:00				1		
35	2020-09-02	04:55:00	20					
36	2020-09-02	05:30:00						1
37	2020-09-02	07:20:00						0
38	2020-09-02	07:30:00	10					
39	2020-09-02	08:10:00	6					
40	2020-09-02	08:55:00				1		
41	2020-09-02	09:00:00						1
42	2020-09-02	11:35:00						0
43	2020-09-02	11:35:00	22					
44	2020-09-02	12:10:00						1
45	2020-09-02	12:25:00						0
46	2020-09-02	13:05:00						1
47	2020-09-02	13:55:00						0
48	2020-09-02	13:55:00	12					
49	2020-09-02	14:45:00						1
50	2020-09-02	16:30:00						0
51	2020-09-02	16:45:00		80				
52	2020-09-02	17:10:00				1		
53	2020-09-02	17:10:00					1	
54	2020-09-02	18:00:00	31					
55	2020-09-02	19:00:00						1
56	2020-09-02	20:00:00						0
57	2020-09-02	20:15:00				1		
58	2020-09-02	20:25:00	38					
59	2020-09-02	21:19:00						1
60	2020-09-02	21:40:00						0
61	2020-09-02	22:30:00						1
62	2020-09-02	22:30:00	197					
63	2020-09-02	22:30:00				1		
64	2020-09-02	22:30:00					1	
65	2020-09-03	02:00:00						0
66	2020-09-03	02:00:00		80				
67	2020-09-03	02:35:00				1		
68	2020-09-03	02:35:00	36					
69	2020-09-03	03:15:00						1
70	2020-09-03	06:35:00	33					
71	2020-09-03	09:20:00						0
72	2020-09-03	09:20:00				1		
73	2020-09-03	09:20:00	21					
74	2020-09-03	10:10:00				1		
75	2020-09-03	10:40:00						1
76	2020-09-03	11:05:00						0
77	2020-09-03	11:10:00						1
78	2020-09-03	12:20:00						0
79	2020-09-03	12:35:00				1		
80	2020-09-03	12:35:00	21					
81	2020-09-03	13:20:00				1		
82	2020-09-03	13:45:00						1
83	2020-09-03	15:40:00						0
84	2020-09-03	16:00:00				1		
85	2020-09-03	16:00:00	14					
86	2020-09-03	17:15:00						1
87	2020-09-03	17:50:00						0
88	2020-09-03	18:10:00	20					
89	2020-09-03	19:10:00	15					
90	2020-09-03	20:10:00			70			
91	2020-09-03	20:25:00	34					
92	2020-09-03	21:15:00						1
93	2020-09-03	21:15:00	193					
94	2020-09-03	21:15:00				1		
95	2020-09-03	21:15:00					1	
96	2020-09-04	01:50:00	32					
97	2020-09-04	04:55:00	17					
98	2020-09-04	06:15:00						0
99	2020-09-04	06:15:00				1		
100	2020-09-04	06:15:00	30					
101	2020-09-04	06:45:00						1
102	2020-09-04	08:45:00						0
103	2020-09-04	08:50:00	26					
104	2020-09-04	09:30:00				1		
105	2020-09-04	09:30:00					1	
106	2020-09-04	09:55:00						1
107	2020-09-04	12:20:00						0
108	2020-09-04	12:20:00				1		
109	2020-09-04	12:20:00	20					
110	2020-09-04	13:40:00						1
111	2020-09-04	15:40:00						0
112	2020-09-04	15:40:00	12					
113	2020-09-04	16:20:00				1		
114	2020-09-04	16:20:00					1	
115	2020-09-04	16:45:00	10					
116	2020-09-04	16:55:00						1
117	2020-09-04	19:45:00						0
118	2020-09-04	19:45:00	27					
119	2020-09-04	20:30:00				1		
120	2020-09-04	20:45:00	33					
121	2020-09-04	21:45:00						1
122	2020-09-04	22:20:00						0
123	2020-09-04	22:55:00	24					
124	2020-09-04	23:50:00		80				
125	2020-09-04	23:50:00	232					
126	2020-09-04	23:50:00				1		
127	2020-09-04	23:50:00					1	
128	2020-09-05	00:25:00	102					
129	2020-09-05	01:00:00						1
130	2020-09-05	04:55:00						0
131	2020-09-05	04:55:00	36					
132	2020-09-05	05:30:00						1
133	2020-09-05	06:20:00						0
134	2020-09-05	06:20:00	14					
135	2020-09-05	06:40:00				1		
136	2020-09-05	06:40:00	26					
137	2020-09-05	07:05:00						1
138	2020-09-05	09:05:00						0
139	2020-09-05	09:05:00				1		
140	2020-09-05	09:05:00	10					
141	2020-09-05	10:35:00	11					
142	2020-09-05	11:00:00						1
143	2020-09-05	12:50:00						0
144	2020-09-05	13:00:00				1		
145	2020-09-05	13:00:00					1	
146	2020-09-05	13:20:00	17					
147	2020-09-05	14:20:00				1		
148	2020-09-05	14:20:00					1	
149	2020-09-05	14:25:00						1
150	2020-09-05	14:55:00						0
151	2020-09-05	16:00:00						1
152	2020-09-05	16:30:00						0
153	2020-09-05	16:35:00	23					
154	2020-09-05	17:15:00				1		
155	2020-09-05	17:50:00						1
156	2020-09-05	18:50:00						0
157	2020-09-05	19:05:00				1		
158	2020-09-05	19:05:00	17					
159	2020-09-05	19:45:00	14					
160	2020-09-05	20:40:00				1		
161	2020-09-05	20:40:00					1	
162	2020-09-05	20:40:00		80				
163	2020-09-05	21:45:00				1		
164	2020-09-05	21:50:00	26					
165	2020-09-05	22:40:00	5					
166	2020-09-05	23:25:00	38					
167	2020-09-05	23:25:00	338					
168	2020-09-05	23:25:00				1		
169	2020-09-05	23:25:00					1	
170	2020-09-06	00:05:00	44					
171	2020-09-06	00:50:00						1
172	2020-09-06	03:15:00	42					
173	2020-09-06	07:20:00						0
174	2020-09-06	07:20:00				1		
175	2020-09-06	07:20:00	30					
176	2020-09-06	09:00:00				1		
177	2020-09-06	09:15:00						1
178	2020-09-06	09:45:00						0
179	2020-09-06	09:50:00	12					
180	2020-09-06	10:10:00						1
181	2020-09-06	12:45:00						0
182	2020-09-06	12:45:00				1		
183	2020-09-06	12:45:00	22					
184	2020-09-06	13:30:00						1
185	2020-09-06	16:55:00						0
186	2020-09-06	16:55:00	14					
187	2020-09-06	17:00:00				1		
188	2020-09-06	18:40:00		80				
189	2020-09-06	19:20:00	15					
190	2020-09-06	20:20:00				1		
191	2020-09-06	20:40:00						1
192	2020-09-06	20:55:00						0
193	2020-09-06	21:10:00						1
194	2020-09-06	21:15:00						0
195	2020-09-06	22:00:00	20					
196	2020-09-06	22:30:00						1
197	2020-09-06	22:35:00						0
198	2020-09-06	22:55:00	75					
199	2020-09-06	22:55:00	273					
200	2020-09-06	22:55:00				1		
201	2020-09-06	22:55:00					1	
202	2020-09-07	00:15:00						1
203	2020-09-07	02:00:00	28					
204	2020-09-07	05:15:00	15					
205	2020-09-07	06:45:00	10					
206	2020-09-07	08:00:00						0
207	2020-09-07	08:05:00				1		
208	2020-09-07	08:40:00				1		
209	2020-09-07	08:40:00	32					
210	2020-09-07	09:15:00						1
211	2020-09-07	11:30:00						0
212	2020-09-07	11:35:00				1		
213	2020-09-07	11:40:00	24					
214	2020-09-07	12:35:00				1		
215	2020-09-07	12:55:00						1
216	2020-09-07	13:45:00						0
217	2020-09-07	14:00:00	15					
218	2020-09-07	15:00:00						1
219	2020-09-07	17:35:00						0
220	2020-09-07	17:35:00	24					
221	2020-09-07	18:00:00				1		
222	2020-09-07	18:55:00						1
223	2020-09-07	19:30:00						0
224	2020-09-07	20:00:00				1		
225	2020-09-07	20:00:00	18					
226	2020-09-07	20:40:00	19					
227	2020-09-07	21:15:00				1		
228	2020-09-07	21:30:00			40			
229	2020-09-07	21:55:00	39					
230	2020-09-07	22:50:00						1
231	2020-09-07	23:00:00						0
232	2020-09-07	23:10:00						1
233	2020-09-07	23:10:00	224					
234	2020-09-07	23:10:00				1		
235	2020-09-07	23:10:00					1	
236	2020-09-08	00:25:00	19					
237	2020-09-08	03:50:00	34					
238	2020-09-08	07:20:00						0
239	2020-09-08	07:20:00				1		
240	2020-09-08	07:20:00	25					
