	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2021-02-01	05:20:00						0
1	2021-02-01	05:25:00						1
2	2021-02-01	06:25:00						0
3	2021-02-01	06:25:00	11					
4	2021-02-01	06:40:00				1		
5	2021-02-01	08:30:00				1		
6	2021-02-01	09:05:00						1
7	2021-02-01	09:50:00						0
8	2021-02-01	10:35:00	6					
9	2021-02-01	11:30:00				1		
10	2021-02-01	12:05:00						1
11	2021-02-01	13:43:00						0
12	2021-02-01	13:45:00				1		
13	2021-02-01	14:15:00	9					
14	2021-02-01	15:30:00						1
15	2021-02-01	16:20:00						0
16	2021-02-01	16:40:00				1		
17	2021-02-01	17:55:00		200				
18	2021-02-01	19:20:00				1		
19	2021-02-01	19:40:00	7					
20	2021-02-01	20:05:00						1
21	2021-02-01	20:45:00						0
22	2021-02-01	20:47:00						1
23	2021-02-01	21:30:00						0
24	2021-02-01	21:34:00						1
25	2021-02-01	21:34:00	32					
26	2021-02-01	21:34:00				1		
27	2021-02-01	21:34:00					1	
28	2021-02-02	06:40:00						0
29	2021-02-02	06:40:00	12					
30	2021-02-02	06:55:00				1		
31	2021-02-02	07:25:00				1		
32	2021-02-02	08:39:00						1
33	2021-02-02	09:20:00						0
34	2021-02-02	09:40:00				1		
35	2021-02-02	10:05:00	7					
36	2021-02-02	11:00:00						1
37	2021-02-02	11:04:00						0
38	2021-02-02	11:55:00				1		
39	2021-02-02	12:02:00						1
40	2021-02-02	12:15:00						0
41	2021-02-02	12:17:00						1
42	2021-02-02	13:55:00						0
43	2021-02-02	14:35:00	8					
44	2021-02-02	14:45:00				1		
45	2021-02-02	16:00:00				1		
46	2021-02-02	16:40:00						1
47	2021-02-02	17:00:00						0
48	2021-02-02	17:20:00				1		
49	2021-02-02	18:10:00		200				
50	2021-02-02	19:20:00				1		
51	2021-02-02	19:35:00	6					
52	2021-02-02	19:55:00						1
53	2021-02-02	19:55:00	33					
54	2021-02-02	19:55:00				1		
55	2021-02-02	19:55:00					1	
56	2021-02-03	06:50:00	13					
57	2021-02-03	06:50:00						0
58	2021-02-03	07:10:00				1		
59	2021-02-03	07:10:00					1	
60	2021-02-03	08:45:00				1		
61	2021-02-03	08:50:00						1
62	2021-02-03	09:15:00						0
63	2021-02-03	10:20:00	5					
64	2021-02-03	11:00:00				1		
65	2021-02-03	11:30:00						1
66	2021-02-03	13:10:00						0
67	2021-02-03	14:00:00				1		
68	2021-02-03	14:05:00	9					
69	2021-02-03	14:55:00				1		
70	2021-02-03	15:35:00					1	
71	2021-02-03	16:05:00						1
72	2021-02-03	16:35:00						0
73	2021-02-03	17:20:00				1		
74	2021-02-03	18:10:00		200				
75	2021-02-03	18:20:00				1		
76	2021-02-03	19:30:00				1		
77	2021-02-03	19:45:00	5					
78	2021-02-03	19:58:00						1
79	2021-02-03	19:58:00	31					
80	2021-02-03	19:58:00				1		
81	2021-02-03	19:58:00					1	
82	2021-02-04	05:00:00						0
83	2021-02-04	05:10:00						1
84	2021-02-04	06:00:00						0
85	2021-02-04	06:05:00	11					
86	2021-02-04	06:15:00				1		
87	2021-02-04	08:15:00						1
88	2021-02-04	08:30:00						0
89	2021-02-04	08:40:00						1
90	2021-02-04	09:45:00						0
91	2021-02-04	09:50:00				1		
92	2021-02-04	10:15:00	8					
93	2021-02-04	11:40:00						1
94	2021-02-04	13:20:00						0
95	2021-02-04	13:30:00				1		
96	2021-02-04	14:10:00	6					
97	2021-02-04	15:50:00				1		
98	2021-02-04	16:00:00						1
99	2021-02-04	16:35:00						0
100	2021-02-04	16:50:00				1		
101	2021-02-04	18:20:00		200				
102	2021-02-04	19:30:00				1		
103	2021-02-04	19:45:00	5					
104	2021-02-04	20:05:00						1
105	2021-02-04	20:05:00	31					
106	2021-02-04	20:05:00				1		
107	2021-02-04	20:05:00					1	
108	2021-02-05	06:20:00						0
109	2021-02-05	06:20:00	9					
110	2021-02-05	06:35:00				1		
111	2021-02-05	08:20:00						1
112	2021-02-05	09:15:00						0
113	2021-02-05	09:20:00				1		
114	2021-02-05	10:05:00	8					
115	2021-02-05	10:55:00				1		
116	2021-02-05	11:14:00						1
117	2021-02-05	12:40:00						0
118	2021-02-05	12:49:00						1
119	2021-02-05	12:53:00						0
120	2021-02-05	13:25:00				1		
121	2021-02-05	14:10:00	7					
122	2021-02-05	15:07:00						1
123	2021-02-05	15:42:00						0
124	2021-02-05	16:35:00				1		
125	2021-02-05	17:30:00						1
126	2021-02-05	18:00:00						0
127	2021-02-05	18:25:00		200				
128	2021-02-05	19:20:00				1		
129	2021-02-05	19:40:00	8					
130	2021-02-05	20:05:00						1
131	2021-02-05	20:10:00						0
132	2021-02-05	20:20:00						1
133	2021-02-05	20:20:00	31					
134	2021-02-05	20:20:00				1		
135	2021-02-05	20:20:00					1	
136	2021-02-06	05:15:00						0
137	2021-02-06	05:40:00				1		
138	2021-02-06	06:10:00	30					
139	2021-02-06	07:05:00				1		
140	2021-02-06	07:05:00					1	
141	2021-02-06	08:10:00						1
142	2021-02-06	08:45:00						0
143	2021-02-06	10:25:00		160				
144	2021-02-06	10:45:00				1		
145	2021-02-06	10:55:00						1
146	2021-02-06	12:25:00						0
147	2021-02-06	12:30:00				1		
148	2021-02-06	14:30:00	8					
149	2021-02-06	14:45:00				1		
150	2021-02-06	15:55:00						1
151	2021-02-06	16:25:00						0
152	2021-02-06	17:55:00				1		
153	2021-02-06	17:55:00					1	
154	2021-02-06	18:00:00		200				
155	2021-02-06	19:25:00	5					
156	2021-02-06	19:44:00						1
157	2021-02-06	23:15:00						0
158	2021-02-06	23:30:00						1
159	2021-02-06	23:30:00	43					
160	2021-02-06	23:30:00				1		
161	2021-02-06	23:30:00					1	
162	2021-02-07	06:00:00						0
163	2021-02-07	06:15:00				1		
164	2021-02-07	06:15:00					1	
165	2021-02-07	06:20:00	9					
166	2021-02-07	08:20:00				1		
167	2021-02-07	08:25:00						1
168	2021-02-07	09:55:00						0
169	2021-02-07	10:10:00	7					
170	2021-02-07	12:18:00						1
171	2021-02-07	12:50:00						0
172	2021-02-07	13:50:00				1		
173	2021-02-07	14:05:00	6					
174	2021-02-07	14:40:00						1
175	2021-02-07	15:28:00						0
176	2021-02-07	16:40:00				1		
177	2021-02-07	17:30:00						1
178	2021-02-07	18:00:00						0
179	2021-02-07	18:20:00		200				
180	2021-02-07	19:25:00				1		
181	2021-02-07	19:40:00	6					
182	2021-02-07	20:10:00						1
183	2021-02-07	20:10:00	27					
184	2021-02-07	20:10:00				1		
185	2021-02-07	20:10:00					1	
186	2021-02-08	01:30:00						0
187	2021-02-08	01:50:00						1
188	2021-02-08	06:15:00	9					
189	2021-02-08	06:15:00						0
190	2021-02-08	07:55:00				1		
191	2021-02-08	08:01:00						1
192	2021-02-08	08:20:00						0
193	2021-02-08	08:25:00						1
194	2021-02-08	09:20:00						0
195	2021-02-08	09:30:00				1		
196	2021-02-08	10:00:00	9					
197	2021-02-08	10:30:00				1		
198	2021-02-08	11:30:00						1
199	2021-02-08	12:45:00						0
200	2021-02-08	13:00:00				1		
201	2021-02-08	13:55:00	6					
202	2021-02-08	14:58:00						1
203	2021-02-08	15:58:00						0
204	2021-02-08	16:00:00				1		
205	2021-02-08	18:05:00		200				
206	2021-02-08	19:10:00				1		
207	2021-02-08	19:25:00	5					
208	2021-02-08	19:45:00						1
209	2021-02-08	19:45:00	30					
210	2021-02-08	19:45:00				1		
211	2021-02-08	19:45:00					1	
212	2021-02-09	05:25:00						0
213	2021-02-09	06:20:00						1
214	2021-02-09	06:55:00	13					
215	2021-02-09	06:55:00						0
