	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2020-07-02	20:15:00				1		
1	2020-07-02	20:15:00					1	
2	2020-07-03	00:00:00		10				
3	2020-07-03	03:00:00		10				
4	2020-07-03	11:00:00	10					
5	2020-07-03	11:00:00				1		
6	2020-07-03	11:00:00					1	
7	2020-07-03	14:00:00	5					
8	2020-07-03	14:00:00					1	
9	2020-07-03	14:00:00	5					
10	2020-07-03	14:50:00	5					
11	2020-07-03	14:50:00				1		
12	2020-07-03	14:50:00	5					
13	2020-07-03	15:20:00	10					
14	2020-07-03	16:45:00	10					
15	2020-07-03	18:00:00		10				
16	2020-07-03	21:00:00		10				
17	2020-07-03	21:00:00				1		
18	2020-07-03	21:00:00					1	
19	2020-07-03	22:00:00	50					
20	2020-07-03	22:00:00				1		
21	2020-07-03	22:00:00					1	
22	2020-07-04	00:00:00		20				
23	2020-07-04	00:00:00				1		
24	2020-07-04	03:00:00		20				
25	2020-07-04	03:00:00				1		
26	2020-07-04	03:00:00					1	
27	2020-07-04	06:00:00		20				
28	2020-07-04	06:00:00				1		
29	2020-07-04	06:00:00					1	
30	2020-07-04	09:00:00		20				
31	2020-07-04	10:30:00	5					
32	2020-07-04	10:30:00				1		
33	2020-07-04	10:30:00					1	
34	2020-07-04	11:10:00	10					
35	2020-07-04	14:15:00	10					
36	2020-07-04	14:45:00	10					
37	2020-07-04	14:50:00		20				
38	2020-07-04	15:10:00	10					
39	2020-07-04	15:30:00	5					
40	2020-07-04	17:30:00	10					
41	2020-07-04	17:30:00		20				
42	2020-07-04	20:50:00		20				
43	2020-07-04	20:50:00	10					
44	2020-07-04	20:50:00				1		
45	2020-07-04	23:55:00	10					
46	2020-07-04	23:55:00	80					
47	2020-07-04	23:55:00				1		
48	2020-07-04	23:55:00					1	
49	2020-07-05	00:00:00		20				
50	2020-07-05	00:00:00					1	
51	2020-07-05	00:15:00	5					
52	2020-07-05	03:20:00	10					
53	2020-07-05	03:20:00				1		
54	2020-07-05	03:20:00					1	
55	2020-07-05	03:30:00		30				
56	2020-07-05	06:00:00				1		
57	2020-07-05	06:00:00					1	
58	2020-07-05	06:00:00	10					
59	2020-07-05	06:00:00		30				
60	2020-07-05	09:20:00	10					
61	2020-07-05	09:20:00		30				
62	2020-07-05	09:20:00					1	
63	2020-07-05	10:30:00				1		
64	2020-07-05	10:30:00	10					
65	2020-07-05	11:15:00	5					
66	2020-07-05	12:00:00		30				
67	2020-07-05	13:50:00	10					
68	2020-07-05	13:50:00				1		
69	2020-07-05	14:15:00	10					
70	2020-07-05	14:15:00				1		
71	2020-07-05	14:15:00					1	
72	2020-07-05	14:40:00	10					
73	2020-07-05	15:00:00		30				
74	2020-07-05	15:45:00	10					
75	2020-07-05	15:45:00				1		
76	2020-07-05	16:10:00	5					
77	2020-07-05	17:20:00	10					
78	2020-07-05	17:40:00		30				
79	2020-07-05	17:40:00				1		
80	2020-07-05	20:40:00	10					
81	2020-07-05	20:40:00					1	
82	2020-07-05	20:40:00		30				
