	date	time	mothermilk	milk	expressedmilk	small	big	sleep
0	2020-12-01	02:15:00						0
1	2020-12-01	02:20:00				1		
2	2020-12-01	02:20:00	7					
3	2020-12-01	02:30:00						1
4	2020-12-01	05:20:00						0
5	2020-12-01	05:30:00				1		
6	2020-12-01	05:30:00					1	
7	2020-12-01	05:30:00	17					
8	2020-12-01	06:00:00						1
9	2020-12-01	07:00:00						0
10	2020-12-01	07:15:00					1	
11	2020-12-01	07:15:00				1		
12	2020-12-01	08:00:00	7					
13	2020-12-01	09:25:00						1
14	2020-12-01	09:30:00						0
15	2020-12-01	09:35:00						1
16	2020-12-01	10:25:00						0
17	2020-12-01	10:30:00				1		
18	2020-12-01	10:50:00					1	
19	2020-12-01	10:50:00				1		
20	2020-12-01	11:45:00						1
21	2020-12-01	11:55:00						0
22	2020-12-01	12:15:00	12					
23	2020-12-01	12:55:00				1		
24	2020-12-01	13:55:00						1
25	2020-12-01	15:20:00						0
26	2020-12-01	15:25:00				1		
27	2020-12-01	15:40:00	7					
28	2020-12-01	16:20:00				1		
29	2020-12-01	17:45:00						1
30	2020-12-01	18:20:00						0
31	2020-12-01	18:25:00				1		
32	2020-12-01	18:50:00	7					
33	2020-12-01	19:40:00				1		
34	2020-12-01	19:55:00		120				
35	2020-12-01	20:00:00	2					
36	2020-12-01	20:37:00						1
37	2020-12-01	20:37:00	59					
38	2020-12-01	20:37:00				1		
39	2020-12-01	20:37:00					1	
40	2020-12-02	00:20:00						0
41	2020-12-02	00:25:00	13					
42	2020-12-02	00:40:00						1
43	2020-12-02	03:25:00						0
44	2020-12-02	03:25:00				1		
45	2020-12-02	03:45:00	16					
46	2020-12-02	04:00:00						1
47	2020-12-02	06:50:00						0
48	2020-12-02	06:55:00	13					
49	2020-12-02	07:25:00				1		
50	2020-12-02	07:25:00					1	
51	2020-12-02	08:30:00	7					
52	2020-12-02	08:50:00				1		
53	2020-12-02	09:35:00						1
54	2020-12-02	10:50:00						0
55	2020-12-02	12:10:00	8					
56	2020-12-02	12:20:00				1		
57	2020-12-02	14:30:00						1
58	2020-12-02	14:55:00						0
59	2020-12-02	15:00:00					1	
60	2020-12-02	15:00:00				1		
61	2020-12-02	15:20:00	16					
62	2020-12-02	16:20:00						1
63	2020-12-02	17:05:00						0
64	2020-12-02	17:25:00				1		
65	2020-12-02	18:20:00	9					
66	2020-12-02	19:30:00				1		
67	2020-12-02	19:45:00		80				
68	2020-12-02	19:50:00	5					
69	2020-12-02	20:25:00						1
70	2020-12-02	22:00:00						0
71	2020-12-02	22:20:00						1
72	2020-12-02	22:20:00	87					
73	2020-12-02	22:20:00				1		
74	2020-12-02	22:20:00					1	
75	2020-12-03	01:55:00						0
76	2020-12-03	02:00:00				1		
77	2020-12-03	02:30:00						1
78	2020-12-03	04:20:00						0
79	2020-12-03	04:25:00	8					
80	2020-12-03	04:35:00						1
81	2020-12-03	06:25:00						0
82	2020-12-03	06:35:00						1
83	2020-12-03	07:15:00						0
84	2020-12-03	07:45:00				1		
85	2020-12-03	07:45:00					1	
86	2020-12-03	08:00:00	7					
87	2020-12-03	08:25:00					1	
88	2020-12-03	09:35:00						1
89	2020-12-03	10:25:00						0
90	2020-12-03	11:30:00	18					
91	2020-12-03	12:05:00				1		
92	2020-12-03	13:10:00				1		
93	2020-12-03	13:35:00						1
